"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","12.14","13.70","13.70","11.63","25.45M","-11.58%"
"11/11/2024","13.73","10.91","14.07","10.58","21.05M","25.96%"
"11/10/2024","10.90","10.43","11.49","10.21","12.98M","4.51%"
"11/09/2024","10.43","9.72","10.60","9.55","5.36M","7.30%"
"11/08/2024","9.72","9.83","10.09","9.43","4.36M","-1.02%"
"11/07/2024","9.82","9.57","9.96","9.44","4.41M","2.83%"
"11/06/2024","9.55","8.47","9.73","8.46","6.77M","12.88%"
"11/05/2024","8.46","8.08","8.65","8.05","4.63M","4.96%"
"11/04/2024","8.06","8.20","8.35","7.74","4.06M","-1.59%"
"11/03/2024","8.19","8.64","8.66","7.86","4.59M","-4.99%"
"11/02/2024","8.62","8.94","8.97","8.54","2.06M","-3.47%"
"11/01/2024","8.93","9.09","9.30","8.69","4.05M","-1.76%"
"10/31/2024","9.09","9.80","9.80","9.08","3.66M","-7.24%"
"10/30/2024","9.80","10.04","10.21","9.69","3.52M","-2.39%"
"10/29/2024","10.04","9.21","10.19","9.20","5.91M","8.89%"
"10/28/2024","9.22","9.18","9.31","8.73","4.91M","0.22%"
"10/27/2024","9.20","9.32","9.38","9.08","2.04M","-1.18%"
"10/26/2024","9.31","8.92","9.32","8.72","4.28M","3.67%"
"10/25/2024","8.98","10.19","10.23","8.66","6.31M","-11.87%"
"10/24/2024","10.19","9.93","10.40","9.82","5.08M","2.52%"
"10/23/2024","9.94","10.42","10.62","9.66","5.36M","-4.15%"
"10/22/2024","10.37","10.11","11.22","10.02","13.82M","2.57%"
"10/21/2024","10.11","9.98","10.30","9.81","4.46M","1.20%"
"10/20/2024","9.99","9.71","10.18","9.69","3.51M","2.88%"
"10/19/2024","9.71","10.02","10.02","9.65","2.39M","-3.09%"
"10/18/2024","10.02","9.93","10.18","9.77","3.97M","0.91%"
"10/17/2024","9.93","10.04","10.28","9.73","4.52M","-1.00%"
"10/16/2024","10.03","10.45","10.46","9.70","6.58M","-4.20%"
"10/15/2024","10.47","10.18","10.70","9.96","11.12M","2.95%"
"10/14/2024","10.17","10.17","10.45","9.91","7.90M","-0.10%"
"10/13/2024","10.18","9.94","10.40","9.69","13.41M","2.52%"
"10/12/2024","9.93","8.52","9.96","8.43","9.80M","16.55%"
