Date,Price,Open,High,Low,Vol.,Change %
11/12/2024,624.92,660.15,666.66,616.37,1.48M,-5.34%
11/11/2024,660.15,627.46,664.6,613.04,1.06M,5.21%
11/10/2024,627.46,624.66,644.06,612.68,854.12K,0.48%
11/9/2024,624.48,597.81,637.97,597.51,794.09K,4.46%
11/8/2024,597.81,598.22,605.7,588.15,330.61K,-0.07%
11/7/2024,598.2,591.99,611.04,587.49,397.45K,1.05%
11/6/2024,591.99,563.23,594.76,563.19,568.65K,5.11%
11/5/2024,563.23,552.51,572.14,551.41,217.86K,1.94%
11/4/2024,552.51,557.7,564.59,543.87,271.27K,-0.93%
11/3/2024,557.7,568.59,569.3,547.3,223.61K,-1.88%
11/2/2024,568.4,573.09,576.78,562.4,148.72K,-0.82%
11/1/2024,573.09,576.5,585.4,568,252.22K,-0.61%
10/31/2024,576.6,595.5,596.39,571.39,288.20K,-3.17%
10/30/2024,595.5,606.3,606.59,594.31,193.18K,-1.78%
10/29/2024,606.3,600.99,612.09,600,311.62K,0.88%
10/28/2024,600.99,589.2,604.2,585.59,196.20K,1.98%
10/27/2024,589.3,583.3,591,581.8,98.11K,0.99%
10/26/2024,583.49,575.29,587,571.99,124.96K,1.43%
10/25/2024,575.29,594.41,597.39,566.84,267.45K,-3.22%
10/24/2024,594.41,584.89,597.91,583.5,155.61K,1.62%
10/23/2024,584.91,593.7,594.29,573.2,241.46K,-1.50%
10/22/2024,593.79,598.69,600.09,587.11,216.77K,-0.82%
10/21/2024,598.69,605.81,611.4,591.89,294.15K,-1.18%
10/20/2024,605.81,597.71,607.19,593.5,129.11K,1.36%
10/19/2024,597.71,599.19,601.31,595.61,83.90K,-0.25%
10/18/2024,599.19,592.89,602.39,591.9,147.44K,1.06%
10/17/2024,592.89,600.98,606.01,585.5,203.85K,-1.35%
10/16/2024,600.98,594.67,605.39,589.89,276.61K,1.06%
10/15/2024,594.67,589.1,599.6,578.44,361.59K,0.95%
10/14/2024,589.1,572.3,592.19,569.8,263.99K,2.94%
10/13/2024,572.3,576.59,578.39,565.01,124.95K,-0.74%
10/12/2024,576.59,573.3,578.99,573.3,145.01K,0.58%
