"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","426.92","472.69","473.14","422.55","458.52K","-9.68%"
"11/11/2024","472.69","441.22","477.87","423.10","348.00K","7.13%"
"11/10/2024","441.22","405.01","453.97","395.33","450.78K","8.89%"
"11/09/2024","405.20","377.12","406.23","369.84","163.49K","7.41%"
"11/08/2024","377.23","377.58","383.35","364.52","135.53K","-0.09%"
"11/07/2024","377.58","378.39","386.63","370.74","110.03K","-0.21%"
"11/06/2024","378.39","342.90","384.00","342.90","282.48K","10.35%"
"11/05/2024","342.90","329.23","345.23","326.61","73.07K","4.15%"
"11/04/2024","329.23","340.05","342.34","322.25","102.05K","-3.18%"
"11/03/2024","340.05","353.73","354.19","334.15","85.77K","-3.89%"
"11/02/2024","353.80","349.54","357.05","341.35","55.69K","1.22%"
"11/01/2024","349.54","358.88","360.04","344.11","72.96K","-2.54%"
"10/31/2024","358.64","369.02","377.87","350.01","150.10K","-2.81%"
"10/30/2024","369.02","385.94","387.21","367.04","135.87K","-4.38%"
"10/29/2024","385.94","365.32","389.29","363.95","138.47K","5.64%"
"10/28/2024","365.32","352.22","367.90","344.10","61.36K","3.72%"
"10/27/2024","352.22","348.00","354.08","347.19","22.56K","1.21%"
"10/26/2024","348.00","349.27","357.04","346.23","30.34K","-0.37%"
"10/25/2024","349.28","367.91","373.99","340.57","116.33K","-5.06%"
"10/24/2024","367.91","348.11","370.89","346.70","106.40K","5.64%"
"10/23/2024","348.26","357.49","357.50","339.33","50.66K","-2.58%"
"10/22/2024","357.49","363.72","366.47","354.36","43.18K","-1.71%"
"10/21/2024","363.72","369.76","378.79","359.08","71.55K","-1.64%"
"10/20/2024","369.76","363.22","370.21","357.56","61.56K","1.80%"
"10/19/2024","363.22","367.17","368.89","361.43","33.03K","-1.08%"
"10/18/2024","367.17","369.90","377.20","363.28","84.35K","-0.74%"
"10/17/2024","369.90","365.58","375.51","360.52","92.08K","1.16%"
"10/16/2024","365.65","354.78","370.89","351.44","149.38K","3.08%"
"10/15/2024","354.74","368.72","386.21","346.47","211.92K","-3.79%"
"10/14/2024","368.72","321.42","369.32","318.91","150.87K","14.72%"
"10/13/2024","321.42","329.30","329.78","317.67","23.79K","-2.42%"
"10/12/2024","329.37","326.85","333.44","325.02","24.15K","0.77%"
