"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","13.81","14.91","15.32","13.81","13.87M","-7.38%"
"11/11/2024","14.91","14.26","14.93","13.62","11.09M","4.54%"
"11/10/2024","14.26","13.77","14.84","13.68","14.92M","3.55%"
"11/09/2024","13.78","13.69","13.83","13.29","5.68M","0.60%"
"11/08/2024","13.69","12.59","13.74","12.53","9.10M","8.73%"
"11/07/2024","12.59","12.17","12.70","12.08","6.11M","3.47%"
"11/06/2024","12.17","10.83","12.31","10.81","7.79M","12.38%"
"11/05/2024","10.83","10.26","10.93","10.19","3.61M","5.57%"
"11/04/2024","10.26","10.76","10.91","10.10","4.43M","-4.63%"
"11/03/2024","10.76","11.18","11.23","10.52","4.05M","-3.77%"
"11/02/2024","11.18","11.25","11.39","11.08","3.03M","-0.63%"
"11/01/2024","11.25","11.42","11.72","11.16","4.30M","-1.49%"
"10/31/2024","11.42","12.38","12.45","11.34","3.81M","-7.75%"
"10/30/2024","12.38","11.79","12.45","11.65","4.32M","5.03%"
"10/29/2024","11.79","11.18","11.80","11.15","3.93M","5.36%"
"10/28/2024","11.19","10.98","11.24","10.71","3.39M","1.90%"
"10/27/2024","10.98","11.01","11.18","10.86","2.11M","-0.19%"
"10/26/2024","11.00","11.14","11.39","10.83","3.62M","-1.43%"
"10/25/2024","11.16","11.61","12.09","10.85","5.33M","-3.86%"
"10/24/2024","11.61","11.32","11.64","11.23","3.20M","2.38%"
"10/23/2024","11.34","11.97","12.00","11.04","3.95M","-5.33%"
"10/22/2024","11.98","11.71","12.33","11.60","4.81M","2.31%"
"10/21/2024","11.71","11.98","12.03","11.54","3.29M","-2.25%"
"10/20/2024","11.98","11.42","12.04","11.27","2.87M","4.90%"
"10/19/2024","11.42","11.47","11.60","11.30","1.81M","-0.46%"
"10/18/2024","11.47","11.03","11.50","10.98","3.10M","4.01%"
"10/17/2024","11.03","11.24","11.35","10.86","2.74M","-1.88%"
"10/16/2024","11.24","11.45","11.53","11.08","3.19M","-1.84%"
"10/15/2024","11.45","11.28","11.68","10.95","5.97M","1.53%"
"10/14/2024","11.28","10.75","11.34","10.60","3.89M","4.92%"
"10/13/2024","10.75","11.01","11.08","10.63","2.23M","-2.32%"
"10/12/2024","11.00","10.90","11.15","10.83","2.23M","0.96%"
