"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","75.792","80.018","82.710","74.827","3.64M","-5.27%"
"11/11/2024","80.006","76.533","80.242","74.632","2.47M","4.54%"
"11/10/2024","76.530","73.983","78.187","73.634","1.50M","3.44%"
"11/09/2024","73.983","72.780","74.180","71.615","532.93K","1.65%"
"11/08/2024","72.780","71.438","73.024","70.680","591.83K","1.88%"
"11/07/2024","71.438","71.021","72.342","69.966","601.30K","0.57%"
"11/06/2024","71.030","65.397","71.613","65.397","1.18M","8.61%"
"11/05/2024","65.397","65.548","67.276","64.877","561.52K","-0.23%"
"11/04/2024","65.548","66.840","67.716","64.460","466.65K","-1.93%"
"11/03/2024","66.840","69.193","69.290","65.283","494.29K","-3.39%"
"11/02/2024","69.184","70.237","71.233","68.861","321.97K","-1.50%"
"11/01/2024","70.237","69.327","71.045","67.758","541.17K","1.36%"
"10/31/2024","69.295","71.763","72.067","68.490","505.26K","-3.44%"
"10/30/2024","71.766","73.980","74.262","71.496","421.59K","-2.99%"
"10/29/2024","73.980","70.798","74.348","70.710","575.70K","4.50%"
"10/28/2024","70.794","71.064","71.548","69.644","424.02K","-0.40%"
"10/27/2024","71.077","68.468","71.204","68.030","242.32K","3.81%"
"10/26/2024","68.468","68.847","69.710","68.083","315.87K","-0.56%"
"10/25/2024","68.853","71.160","72.265","67.019","548.94K","-3.24%"
"10/24/2024","71.155","70.043","71.325","69.303","360.45K","1.54%"
"10/23/2024","70.075","70.037","70.414","67.987","414.28K","0.05%"
"10/22/2024","70.040","70.746","71.597","69.418","826.97K","-0.97%"
"10/21/2024","70.727","74.280","74.555","70.350","597.11K","-4.78%"
"10/20/2024","74.275","74.858","75.625","73.723","389.80K","-0.78%"
"10/19/2024","74.858","73.067","76.059","73.055","441.08K","2.47%"
"10/18/2024","73.056","72.788","74.818","71.910","641.99K","0.37%"
"10/17/2024","72.788","70.082","73.963","69.989","754.47K","3.84%"
"10/16/2024","70.096","70.872","72.978","69.362","934.60K","-1.10%"
"10/15/2024","70.877","66.843","71.670","65.386","1.42M","6.05%"
"10/14/2024","66.837","64.804","67.347","64.154","595.17K","3.14%"
"10/13/2024","64.804","66.195","66.298","64.465","217.89K","-2.10%"
"10/12/2024","66.195","65.553","66.635","65.118","206.28K","0.98%"
