"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","5.1066","5.5576","5.7373","5.0240","70.75M","-8.12%"
"11/11/2024","5.5576","4.7223","5.5672","4.7106","61.68M","17.69%"
"11/10/2024","4.7222","4.6351","4.9391","4.4672","38.52M","1.88%"
"11/09/2024","4.6351","4.3335","4.6894","4.2449","22.81M","6.96%"
"11/08/2024","4.3335","4.2282","4.3848","4.1569","23.60M","2.49%"
"11/07/2024","4.2281","4.2319","4.3395","4.1006","19.40M","-0.08%"
"11/06/2024","4.2316","3.8109","4.2865","3.8103","29.99M","11.04%"
"11/05/2024","3.8109","3.6187","3.9340","3.6138","13.66M","5.31%"
"11/04/2024","3.6187","3.6870","3.7542","3.5110","15.33M","-1.86%"
"11/03/2024","3.6872","3.8068","3.8355","3.5587","16.87M","-3.13%"
"11/02/2024","3.8064","3.9291","3.9869","3.7728","9.72M","-3.13%"
"11/01/2024","3.9294","4.0529","4.1521","3.8698","18.28M","-3.04%"
"10/31/2024","4.0528","4.3115","4.3277","4.0225","15.67M","-6.01%"
"10/30/2024","4.3118","4.4382","4.4386","4.2722","14.67M","-2.85%"
"10/29/2024","4.4383","4.2987","4.5120","4.2912","17.02M","3.25%"
"10/28/2024","4.2984","4.3058","4.3535","4.0899","13.71M","-0.17%"
"10/27/2024","4.3058","4.2357","4.3770","4.1903","6.95M","1.65%"
"10/26/2024","4.2357","4.1709","4.2722","4.1115","14.81M","1.40%"
"10/25/2024","4.1773","4.7189","4.7349","4.0677","23.48M","-11.46%"
"10/24/2024","4.7179","4.6547","4.7711","4.5745","9.99M","1.36%"
"10/23/2024","4.6548","4.6787","4.6860","4.4631","11.44M","-0.51%"
"10/22/2024","4.6788","4.7820","4.8417","4.6260","14.57M","-2.16%"
"10/21/2024","4.7820","4.9797","5.0520","4.7563","13.18M","-3.97%"
"10/20/2024","4.9794","4.8177","5.0105","4.7140","11.16M","3.36%"
"10/19/2024","4.8176","4.8929","4.9400","4.7627","8.01M","-1.54%"
"10/18/2024","4.8929","4.7680","4.9420","4.7347","12.68M","2.62%"
"10/17/2024","4.7680","4.9471","5.0255","4.6547","15.19M","-3.62%"
"10/16/2024","4.9471","5.0638","5.0779","4.8929","17.17M","-2.31%"
"10/15/2024","5.0639","5.0245","5.2675","4.8890","30.63M","0.78%"
"10/14/2024","5.0246","4.7020","5.0750","4.6328","21.30M","6.87%"
"10/13/2024","4.7015","4.8454","4.8688","4.5693","13.20M","-2.97%"
"10/12/2024","4.8452","4.7333","4.9110","4.6816","13.84M","2.37%"
