"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","5.361","5.659","5.827","5.216","85.95M","-5.26%"
"11/11/2024","5.659","5.219","5.731","5.000","59.99M","8.39%"
"11/10/2024","5.221","4.629","5.478","4.598","104.13M","12.79%"
"11/09/2024","4.629","4.326","4.636","4.267","39.20M","6.98%"
"11/08/2024","4.326","4.162","4.386","4.120","36.14M","3.98%"
"11/07/2024","4.161","4.112","4.196","4.051","53.10M","1.16%"
"11/06/2024","4.113","3.855","4.126","3.855","29.88M","6.69%"
"11/05/2024","3.855","3.751","3.912","3.750","16.04M","2.79%"
"11/04/2024","3.751","3.784","3.837","3.688","11.46M","-0.88%"
"11/03/2024","3.784","3.906","3.928","3.669","12.54M","-3.11%"
"11/02/2024","3.906","3.908","3.946","3.824","23.30M","-0.10%"
"11/01/2024","3.909","3.958","3.995","3.859","22.52M","-1.23%"
"10/31/2024","3.958","4.173","4.199","3.904","13.70M","-5.16%"
"10/30/2024","4.173","4.193","4.214","4.137","9.28M","-0.47%"
"10/29/2024","4.193","4.132","4.247","4.123","21.66M","1.49%"
"10/28/2024","4.132","4.130","4.225","4.012","20.19M","0.03%"
"10/27/2024","4.130","4.034","4.132","4.010","7.49M","2.39%"
"10/26/2024","4.034","4.001","4.057","3.947","9.38M","0.84%"
"10/25/2024","4.000","4.206","4.216","3.907","14.90M","-4.88%"
"10/24/2024","4.206","4.213","4.259","4.167","30.51M","-0.17%"
"10/23/2024","4.213","4.322","4.327","4.122","8.28M","-2.54%"
"10/22/2024","4.322","4.378","4.435","4.279","14.47M","-1.27%"
"10/21/2024","4.378","4.578","4.610","4.338","8.56M","-4.35%"
"10/20/2024","4.577","4.431","4.593","4.359","3.88M","3.30%"
"10/19/2024","4.431","4.309","4.481","4.309","7.92M","2.84%"
"10/18/2024","4.309","4.193","4.309","4.174","6.72M","2.77%"
"10/17/2024","4.193","4.316","4.348","4.150","25.22M","-2.85%"
"10/16/2024","4.316","4.406","4.409","4.291","7.58M","-2.04%"
"10/15/2024","4.406","4.377","4.532","4.308","15.69M","0.66%"
"10/14/2024","4.377","4.161","4.397","4.136","9.86M","5.17%"
"10/13/2024","4.161","4.206","4.215","4.090","15.80M","-1.10%"
"10/12/2024","4.208","4.170","4.261","4.154","5.44M","0.91%"
