"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","0.00002615","0.00002789","0.00003038","0.00002486","63,424.29B","-6.24%"
"11/11/2024","0.00002789","0.00002605","0.00002874","0.00002449","32,000.82B","7.02%"
"11/10/2024","0.00002606","0.00002045","0.00002797","0.00002016","57,609.10B","27.43%"
"11/09/2024","0.00002045","0.00001903","0.00002047","0.00001852","9,919.82B","7.46%"
"11/08/2024","0.00001903","0.00001915","0.00001945","0.00001842","8,291.75B","-0.63%"
"11/07/2024","0.00001915","0.00001908","0.00001950","0.00001831","8,412.16B","0.37%"
"11/06/2024","0.00001908","0.00001787","0.00001974","0.00001786","18,251.36B","6.77%"
"11/05/2024","0.00001787","0.00001686","0.00001853","0.00001685","7,373.66B","5.99%"
"11/04/2024","0.00001686","0.00001687","0.00001725","0.00001641","4,250.82B","-0.06%"
"11/03/2024","0.00001687","0.00001743","0.00001746","0.00001621","4,016.58B","-3.21%"
"11/02/2024","0.00001743","0.00001758","0.00001793","0.00001727","2,321.72B","-0.85%"
"11/01/2024","0.00001758","0.00001789","0.00001817","0.00001720","5,520.14B","-1.73%"
"10/31/2024","0.00001789","0.00001838","0.00001916","0.00001773","5,972.02B","-2.72%"
"10/30/2024","0.00001839","0.00001906","0.00001932","0.00001822","5,792.53B","-3.52%"
"10/29/2024","0.00001906","0.00001823","0.00001976","0.00001812","11,025.36B","4.55%"
"10/28/2024","0.00001823","0.00001723","0.00001838","0.00001683","6,211.37B","5.80%"
"10/27/2024","0.00001723","0.00001702","0.00001736","0.00001684","2,053.61B","1.23%"
"10/26/2024","0.00001702","0.00001658","0.00001715","0.00001640","3,331.28B","2.65%"
"10/25/2024","0.00001658","0.00001804","0.00001809","0.00001606","5,718.44B","-8.09%"
"10/24/2024","0.00001804","0.00001765","0.00001816","0.00001741","3,261.00B","2.21%"
"10/23/2024","0.00001765","0.00001814","0.00001818","0.00001708","3,859.09B","-2.70%"
"10/22/2024","0.00001814","0.00001836","0.00001860","0.00001796","3,857.22B","-1.25%"
"10/21/2024","0.00001837","0.00001905","0.00001931","0.00001803","6,001.23B","-3.57%"
"10/20/2024","0.00001905","0.00001903","0.00001917","0.00001841","3,371.20B","0.11%"
"10/19/2024","0.00001903","0.00001879","0.00001950","0.00001865","6,321.51B","1.28%"
"10/18/2024","0.00001879","0.00001821","0.00001929","0.00001815","7,814.21B","3.19%"
"10/17/2024","0.00001821","0.00001858","0.00001871","0.00001761","5,096.50B","-1.99%"
"10/16/2024","0.00001858","0.00001824","0.00001910","0.00001792","8,549.32B","1.86%"
"10/15/2024","0.00001824","0.00001871","0.00001896","0.00001754","8,188.95B","-2.51%"
"10/14/2024","0.00001871","0.00001764","0.00001897","0.00001736","7,479.31B","6.07%"
"10/13/2024","0.00001764","0.00001784","0.00001793","0.00001711","3,356.47B","-1.12%"
"10/12/2024","0.00001784","0.00001764","0.00001811","0.00001763","3,654.60B","1.13%"
