Date,Price,Open,High,Low,Vol.,Change %
11/12/2024,209.622,222.141,225.081,209.065,12.80M,-5.64%
11/11/2024,222.141,210.053,224.022,204.309,11.29M,5.75%
11/10/2024,210.053,199.926,215.152,198.738,10.26M,5.07%
11/9/2024,199.92,199.845,203.384,195.09,4.08M,0.04%
11/8/2024,199.844,196.235,204.862,195.709,6.91M,1.84%
11/7/2024,196.233,186.62,197.805,186.007,5.94M,5.15%
11/6/2024,186.627,166.622,189.943,166.551,13.31M,12.00%
11/5/2024,166.624,157.958,169.245,156.956,4.60M,5.49%
11/4/2024,157.953,162.49,164.959,155.188,4.02M,-2.79%
11/3/2024,162.483,166.082,166.544,158.004,3.80M,-2.17%
11/2/2024,166.082,166.149,168.56,162.228,2.29M,-0.05%
11/1/2024,166.165,168.763,173.945,163.796,4.54M,-1.53%
10/31/2024,168.754,174.91,176.473,167.636,3.68M,-3.52%
10/30/2024,174.918,179.431,181.271,173.227,3.97M,-2.51%
10/29/2024,179.425,178.197,183.272,176.441,5.58M,0.69%
10/28/2024,178.199,176.698,179.547,172.64,5.14M,0.85%
10/27/2024,176.701,170.799,178.214,170.282,3.50M,3.46%
10/26/2024,170.798,165.108,173.189,162.52,4.03M,3.45%
10/25/2024,165.098,177.156,177.409,160.134,7.34M,-6.81%
10/24/2024,177.159,170.927,179.13,170.532,5.25M,3.65%
10/23/2024,170.927,167.419,174.16,164.219,5.88M,2.13%
10/22/2024,167.364,166.14,170.953,163.117,5.34M,0.74%
10/21/2024,166.142,167.351,171.464,161.602,6.30M,-0.72%
10/20/2024,167.338,159.683,167.861,157.613,4.12M,4.79%
10/19/2024,159.683,154.914,159.766,153.845,2.51M,3.08%
10/18/2024,154.913,150.503,156.613,149.678,2.78M,2.93%
10/17/2024,150.503,154.275,155.648,147.796,3.79M,-2.44%
10/16/2024,154.275,154.774,158.225,153.042,4.01M,-0.32%
10/15/2024,154.774,157.536,159.441,150.464,5.96M,-1.75%
10/14/2024,157.536,147.68,157.977,146.868,5.39M,6.67%
10/13/2024,147.682,146.39,148.742,144.572,2.37M,0.87%
10/12/2024,146.404,145.453,147.219,144.695,2.10M,0.66%
