"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","0.177005","0.167791","0.180694","0.164863","1.40B","5.49%"
"11/11/2024","0.167793","0.163915","0.167800","0.163696","594.70M","2.37%"
"11/10/2024","0.163915","0.162004","0.166790","0.161210","632.23M","1.18%"
"11/09/2024","0.162004","0.160914","0.162099","0.159902","197.58M","0.63%"
"11/08/2024","0.160993","0.160105","0.161899","0.160001","214.98M","0.55%"
"11/07/2024","0.160105","0.162500","0.162902","0.159687","367.34M","-1.48%"
"11/06/2024","0.162509","0.160105","0.164003","0.160004","452.92M","1.50%"
"11/05/2024","0.160105","0.162988","0.163194","0.159891","305.83M","-1.77%"
"11/04/2024","0.162988","0.165010","0.165699","0.162697","252.06M","-1.22%"
"11/03/2024","0.165010","0.166200","0.166290","0.163200","224.21M","-0.60%"
"11/02/2024","0.166012","0.167395","0.167701","0.165900","144.29M","-0.83%"
"11/01/2024","0.167394","0.168319","0.168705","0.166395","288.96M","-0.55%"
"10/31/2024","0.168321","0.169300","0.170409","0.167791","291.90M","-0.58%"
"10/30/2024","0.169299","0.166297","0.169698","0.165911","290.33M","1.81%"
"10/29/2024","0.166297","0.164108","0.166803","0.163996","311.45M","1.33%"
"10/28/2024","0.164108","0.164092","0.164401","0.163108","211.00M","0.01%"
"10/27/2024","0.164092","0.165193","0.166203","0.164005","203.27M","-0.67%"
"10/26/2024","0.165193","0.162600","0.165303","0.162396","230.97M","1.60%"
"10/25/2024","0.162598","0.164694","0.166795","0.162198","499.28M","-1.27%"
"10/24/2024","0.164694","0.160301","0.164998","0.160301","289.20M","2.68%"
"10/23/2024","0.160394","0.160214","0.160597","0.159301","206.42M","0.11%"
"10/22/2024","0.160215","0.158388","0.160702","0.157511","228.73M","1.15%"
"10/21/2024","0.158394","0.156791","0.158703","0.155791","236.70M","1.02%"
"10/20/2024","0.156791","0.156705","0.156905","0.156096","145.56M","0.05%"
"10/19/2024","0.156705","0.158490","0.158700","0.156703","161.33M","-1.13%"
"10/18/2024","0.158497","0.159402","0.159497","0.158321","170.12M","-0.57%"
"10/17/2024","0.159403","0.160092","0.160498","0.159199","185.27M","-0.43%"
"10/16/2024","0.160092","0.158795","0.160286","0.158403","245.58M","0.82%"
"10/15/2024","0.158796","0.160412","0.160598","0.157785","323.54M","-1.01%"
"10/14/2024","0.160411","0.162598","0.163103","0.159701","370.38M","-1.34%"
"10/13/2024","0.162598","0.162510","0.163490","0.161896","189.34M","0.05%"
"10/12/2024","0.162510","0.159805","0.164031","0.159015","295.15M","1.69%"
