"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","5.2252","5.4977","5.7221","5.0925","22.07M","-4.94%"
"11/11/2024","5.4965","5.2759","5.5143","5.1892","14.65M","4.19%"
"11/10/2024","5.2752","5.2445","5.5738","5.0297","18.15M","0.64%"
"11/09/2024","5.2416","4.9244","5.2960","4.9001","14.13M","6.44%"
"11/08/2024","4.9244","4.9083","4.9764","4.8259","7.78M","0.32%"
"11/07/2024","4.9087","4.7944","5.0161","4.7635","11.08M","2.44%"
"11/06/2024","4.7920","4.6675","4.8471","4.6453","14.11M","2.67%"
"11/05/2024","4.6675","4.6994","4.7335","4.5451","7.12M","-0.66%"
"11/04/2024","4.6986","4.8185","4.9064","4.6731","5.69M","-2.49%"
"11/03/2024","4.8184","4.8739","4.8828","4.6631","5.69M","-1.11%"
"11/02/2024","4.8724","4.8935","4.9603","4.8449","4.16M","-0.43%"
"11/01/2024","4.8935","4.8474","4.9499","4.7908","6.02M","0.96%"
"10/31/2024","4.8470","4.9902","5.0057","4.7594","5.38M","-2.87%"
"10/30/2024","4.9903","5.0191","5.0717","4.9568","6.43M","-0.58%"
"10/29/2024","5.0191","5.0156","5.1459","4.9880","7.20M","0.07%"
"10/28/2024","5.0155","4.9963","5.0530","4.9255","5.70M","0.39%"
"10/27/2024","4.9961","4.9242","4.9961","4.9043","4.03M","1.47%"
"10/26/2024","4.9237","4.7771","5.0003","4.7399","6.67M","3.02%"
"10/25/2024","4.7794","5.1248","5.1290","4.5804","13.39M","-6.74%"
"10/24/2024","5.1248","5.1376","5.1810","5.0925","5.10M","-0.24%"
"10/23/2024","5.1371","5.2220","5.2277","5.0163","6.00M","-1.62%"
"10/22/2024","5.2220","5.1937","5.2857","5.1485","5.68M","0.54%"
"10/21/2024","5.1937","5.3517","5.4028","5.1653","7.44M","-2.96%"
"10/20/2024","5.3520","5.2613","5.3739","5.2419","4.33M","1.74%"
"10/19/2024","5.2606","5.2414","5.2763","5.2167","3.52M","0.37%"
"10/18/2024","5.2414","5.1781","5.2484","5.1704","5.15M","1.23%"
"10/17/2024","5.1779","5.2270","5.2596","5.1037","5.78M","-0.94%"
"10/16/2024","5.2269","5.2308","5.2972","5.1740","5.80M","-0.05%"
"10/15/2024","5.2297","5.3259","5.3440","5.1314","8.07M","-1.77%"
"10/14/2024","5.3239","5.1950","5.3592","5.1623","7.17M","2.48%"
"10/13/2024","5.1950","5.2442","5.3067","5.1164","4.68M","-0.96%"
"10/12/2024","5.2451","5.2111","5.3114","5.1992","4.59M","0.58%"
