"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","0.9991","0.9986","0.9993","0.9984","2.54B","0.05%"
"11/11/2024","0.9986","0.9992","0.9994","0.9975","2.07B","-0.06%"
"11/10/2024","0.9992","0.9994","0.9997","0.9987","1.49B","-0.02%"
"11/09/2024","0.9994","0.9992","0.9996","0.9992","620.17M","0.02%"
"11/08/2024","0.9992","0.9992","0.9994","0.9985","1.55B","0.00%"
"11/07/2024","0.9992","0.9991","0.9997","0.9983","1.99B","0.01%"
"11/06/2024","0.9991","1.0000","1.0001","0.9983","2.56B","-0.09%"
"11/05/2024","1.0000","1.0006","1.0007","0.9999","882.06M","-0.06%"
"11/04/2024","1.0006","1.0003","1.0010","1.0003","1.02B","0.03%"
"11/03/2024","1.0003","1.0002","1.0004","1.0002","317.43M","0.01%"
"11/02/2024","1.0002","1.0004","1.0005","1.0002","296.81M","-0.02%"
"11/01/2024","1.0004","1.0013","1.0015","1.0001","1.17B","-0.09%"
"10/31/2024","1.0013","1.0002","1.0016","1.0000","1.33B","0.11%"
"10/30/2024","1.0002","1.0001","1.0004","1.0000","806.28M","0.01%"
"10/29/2024","1.0001","1.0006","1.0010","0.9999","1.26B","-0.04%"
"10/28/2024","1.0005","1.0011","1.0014","1.0002","1.07B","-0.06%"
"10/27/2024","1.0011","1.0011","1.0014","1.0010","335.08M","0.00%"
"10/26/2024","1.0011","1.0019","1.0019","1.0009","637.44M","-0.07%"
"10/25/2024","1.0018","1.0004","1.0028","1.0003","1.92B","0.13%"
"10/24/2024","1.0005","1.0009","1.0011","1.0003","1.01B","-0.04%"
"10/23/2024","1.0009","1.0005","1.0013","1.0004","1.07B","0.04%"
"10/22/2024","1.0005","1.0003","1.0007","1.0002","962.60M","0.02%"
"10/21/2024","1.0003","1.0002","1.0008","1.0001","1.06B","0.01%"
"10/20/2024","1.0002","1.0000","1.0003","1.0000","263.14M","0.02%"
"10/19/2024","1.0000","1.0000","1.0001","0.9999","236.08M","0.00%"
"10/18/2024","1.0000","1.0001","1.0004","0.9998","700.58M","-0.01%"
"10/17/2024","1.0001","1.0001","1.0003","1.0000","699.89M","0.01%"
"10/16/2024","1.0000","1.0001","1.0003","0.9999","952.48M","-0.01%"
"10/15/2024","1.0001","1.0002","1.0005","0.9999","1.17B","-0.01%"
"10/14/2024","1.0002","1.0003","1.0007","1.0000","976.26M","-0.01%"
"10/13/2024","1.0003","1.0002","1.0004","1.0000","285.26M","0.01%"
"10/12/2024","1.0002","1.0001","1.0004","1.0000","276.60M","0.01%"
