Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,602,606.9,617.86,595.21,356.34K,-0.81%
9/27/2024,606.9,596.4,614.22,596.1,371.70K,1.76%
9/26/2024,596.4,587.53,608.68,581.03,350.53K,1.51%
9/25/2024,587.53,605.91,608,584.43,233.05K,-3.03%
9/24/2024,605.91,604.7,613.3,599.23,273.45K,0.20%
9/23/2024,604.7,588.61,615.7,584.02,395.30K,2.74%
9/22/2024,588.57,588.51,593.88,576.68,215.12K,0.01%
9/21/2024,588.51,569.09,590,566.62,220.78K,3.43%
9/20/2024,569,566.43,576.99,559.12,273.17K,0.45%
9/19/2024,566.43,559.5,571.88,553.03,329.79K,1.26%
9/18/2024,559.37,546.1,559.37,536.9,218.14K,2.43%
9/17/2024,546.1,533.67,552.34,528.97,212.39K,2.33%
9/16/2024,533.67,553.49,555.1,527.27,290.78K,-3.58%
9/15/2024,553.49,553.4,561.8,552.1,214.01K,0.02%
9/14/2024,553.4,556.4,559.09,547.52,144.60K,-0.54%
9/13/2024,556.4,544.6,559.29,538.9,290.67K,2.17%
9/12/2024,544.6,530.2,548.43,530.11,294.59K,2.72%
9/11/2024,530.2,516.8,534.84,506.78,219.23K,2.59%
9/10/2024,516.8,518.7,523.97,513.4,173.18K,-0.36%
9/9/2024,518.67,502.9,525.48,501.9,217.15K,3.14%
9/8/2024,502.9,493.49,506.68,490.81,141.99K,1.91%
9/7/2024,493.49,487.08,499.28,483.21,150.45K,1.32%
9/6/2024,487.08,502.4,509.48,472.09,387.75K,-3.05%
9/5/2024,502.4,507.52,512.8,496.8,185.80K,-1.01%
9/4/2024,507.52,518.39,523.5,496,458.35K,-2.10%
9/3/2024,518.39,526.39,538.3,518.29,233.58K,-1.52%
9/2/2024,526.39,512.69,529.5,501.8,277.10K,2.67%
9/1/2024,512.69,532.9,533.09,508.11,216.20K,-3.79%
8/31/2024,532.9,535.19,541.39,531.19,103.53K,-0.43%
8/30/2024,535.21,536.51,543.19,522.65,210.69K,-0.24%
8/29/2024,536.51,536.61,545.38,531.79,177.62K,-0.02%
8/28/2024,536.6,533.21,546.64,523.02,295.43K,0.55%
8/27/2024,533.68,548.3,558.25,522.86,322.04K,-2.67%
8/26/2024,548.3,574.19,575.48,546.71,305.84K,-4.51%
8/25/2024,574.19,580.42,583.77,569,222.47K,-1.07%
8/24/2024,580.42,591.63,592.2,575.11,356.14K,-1.89%
8/23/2024,591.63,582.99,597.22,574.97,440.34K,1.48%
8/22/2024,582.99,570.09,589.81,560.4,396.08K,2.28%
8/21/2024,569.99,569.41,575.08,546.78,363.14K,0.10%
8/20/2024,569.41,558.6,574.78,558.4,449.93K,1.94%
8/19/2024,558.59,531.4,560.5,529.39,242.95K,5.12%
8/18/2024,531.4,541.7,542.59,530.9,151.82K,-1.90%
8/17/2024,541.7,519.6,547.47,518.41,203.92K,4.25%
8/16/2024,519.6,519.18,524.48,510.3,184.69K,0.06%
8/15/2024,519.27,523.49,533.7,510.89,242.78K,-0.80%
8/14/2024,523.49,524.17,531.36,516.36,238.17K,-0.15%
8/13/2024,524.26,518.53,525.85,513.7,294.21K,1.11%
8/12/2024,518.53,503.39,523.4,499.9,309.25K,3.03%
8/11/2024,503.29,523.1,535.31,502.88,216.43K,-3.79%
8/10/2024,523.1,508.8,525.18,507.4,130.50K,2.81%
8/9/2024,508.8,517.09,517.98,499.07,204.06K,-1.60%
8/8/2024,517.09,474.81,521.17,468.45,305.93K,8.90%
8/7/2024,474.81,484.73,497.44,468.19,345.20K,-2.05%
8/6/2024,484.73,464.26,492.7,464.08,495.24K,4.49%
8/5/2024,463.9,496.7,499.86,404.53,2.38M,-6.60%
8/4/2024,496.7,529.41,532.1,488.35,405.84K,-6.18%
