Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,351.19,358.69,361.05,345.98,48.41K,-2.09%
9/27/2024,358.69,351.78,364.43,351.78,68.25K,1.96%
9/26/2024,351.78,343.47,358.17,339.3,64.55K,2.42%
9/25/2024,343.47,348.15,355.57,341.65,60.14K,-1.34%
9/24/2024,348.15,342.1,350.97,336.93,64.64K,1.77%
9/23/2024,342.1,342.64,348.93,336.44,46.78K,-0.25%
9/22/2024,342.97,345.51,346.97,334.07,28.99K,-0.74%
9/21/2024,345.51,335.84,346.68,331.2,31.35K,2.86%
9/20/2024,335.9,340.02,345.35,332.44,67.79K,-1.21%
9/19/2024,340.02,327.28,349.03,326.71,146.91K,4.07%
9/18/2024,326.71,314.28,326.71,306.46,54.63K,3.96%
9/17/2024,314.28,311.8,321.36,309.35,36.01K,0.82%
9/16/2024,311.72,316.47,317.06,309.02,39.49K,-1.50%
9/15/2024,316.47,327.02,329.19,314.58,35.03K,-3.23%
9/14/2024,327.02,335.53,337.71,325.64,23.06K,-2.54%
9/13/2024,335.53,332.91,337.27,327.14,39.55K,0.79%
9/12/2024,332.91,337.39,340.81,330.09,46.20K,-1.34%
9/11/2024,337.44,329.53,343.55,319.76,62.43K,2.40%
9/10/2024,329.53,322.21,331.83,318.11,43.41K,2.27%
9/9/2024,322.21,305.27,325.74,304.92,43.56K,5.55%
9/8/2024,305.27,299.43,308.16,298.69,24.03K,1.95%
9/7/2024,299.43,295,308.15,293.31,29.43K,1.50%
9/6/2024,295,307.58,312.74,286.83,79.60K,-4.09%
9/5/2024,307.58,315.22,316.89,303.81,32.36K,-2.42%
9/4/2024,315.22,308.68,319.25,297.49,64.48K,2.12%
9/3/2024,308.68,323.61,325.98,308.52,76.14K,-4.61%
9/2/2024,323.61,312.68,325.48,310.71,43.20K,3.50%
9/1/2024,312.68,322.34,322.72,310.79,22.95K,-3.00%
8/31/2024,322.34,324.9,326.8,319.97,13.02K,-0.79%
8/30/2024,324.9,322.56,326.88,315.39,38.08K,0.72%
8/29/2024,322.56,321.9,330.76,317.42,35.76K,0.21%
8/28/2024,321.9,324.48,329.85,314.65,71.18K,-0.79%
8/27/2024,324.48,342.42,347.17,316.13,63.81K,-5.24%
8/26/2024,342.42,356.32,357.83,339.79,86.46K,-3.94%
