Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,12.73,12.66,12.75,12.65,3.91M,0.56%
9/27/2024,12.66,12.56,12.88,12.45,4.01M,0.80%
9/26/2024,12.56,12.11,12.74,11.92,4.31M,3.72%
9/25/2024,12.11,12.15,12.55,12.07,3.75M,-0.32%
9/24/2024,12.15,11.39,12.23,11.2,3.95M,6.65%
9/23/2024,11.39,11.13,11.6,10.93,3.41M,2.35%
9/22/2024,11.13,11.5,11.54,10.87,2.53M,-3.25%
9/21/2024,11.5,11.44,11.55,11.21,2.19M,0.59%
9/20/2024,11.44,11.2,11.74,11.13,3.88M,2.12%
9/19/2024,11.2,10.89,11.4,10.89,4.25M,2.88%
9/18/2024,10.89,10.63,10.89,10.29,3.07M,2.42%
9/17/2024,10.63,10.54,10.91,10.43,2.87M,0.83%
9/16/2024,10.54,10.82,10.82,10.41,3.04M,-2.59%
9/15/2024,10.82,11.29,11.36,10.8,1.97M,-4.18%
9/14/2024,11.29,11.45,11.48,11.23,1.89M,-1.36%
9/13/2024,11.45,10.79,11.55,10.65,4.04M,6.15%
9/12/2024,10.79,10.39,10.8,10.39,2.73M,3.79%
9/11/2024,10.39,10.59,10.59,10.18,2.85M,-1.83%
9/10/2024,10.59,10.54,10.72,10.33,2.77M,0.48%
9/9/2024,10.53,10.35,10.82,10.27,3.90M,1.82%
9/8/2024,10.35,10.03,10.45,9.97,2.39M,3.16%
9/7/2024,10.03,9.57,10.16,9.56,2.60M,4.79%
9/6/2024,9.57,10.03,10.18,9.3,4.37M,-4.53%
9/5/2024,10.03,10.33,10.39,9.92,2.61M,-2.98%
9/4/2024,10.33,10.31,10.49,9.85,3.90M,0.27%
9/3/2024,10.31,10.77,10.87,10.23,2.80M,-4.27%
9/2/2024,10.77,10.37,10.82,10.33,2.56M,3.80%
9/1/2024,10.37,11.02,11.02,10.25,2.62M,-5.84%
8/31/2024,11.02,11.15,11.19,10.94,1.65M,-0.28%
8/30/2024,11.05,10.95,11.18,10.52,3.14M,0.90%
8/29/2024,10.95,11.18,11.45,10.83,3.02M,-2.07%
8/28/2024,11.18,11.16,11.7,10.95,4.49M,0.16%
8/27/2024,11.16,11.84,12.05,10.92,3.99M,-5.74%
8/26/2024,11.84,12.1,12.69,11.84,4.32M,-2.10%
8/25/2024,12.1,12.34,12.36,11.96,3.02M,-2.02%
8/24/2024,12.34,12.05,12.56,11.91,3.19M,2.44%
