Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,0.9999,1,1.0038,0.9995,918.62K,-0.05%
9/27/2024,1.0004,0.9998,1.005,0.9996,443.64K,0.06%
9/26/2024,0.9998,0.9998,1.0001,0.9992,994.29K,-0.01%
9/25/2024,0.9998,0.9998,1.0005,0.9996,1.24M,0.00%
9/24/2024,0.9998,0.9998,1.0002,0.9997,574.67K,0.00%
9/23/2024,0.9998,0.9998,1.0002,0.9996,508.86K,0.00%
9/22/2024,0.9998,0.9995,1.0001,0.9986,114.99K,0.03%
9/21/2024,0.9995,0.9998,0.9999,0.9952,344.02K,-0.03%
9/20/2024,0.9998,0.9998,0.9999,0.9996,430.71K,0.00%
9/19/2024,0.9998,1,1.0001,0.9995,487.00K,-0.02%
9/18/2024,1,0.9998,1.0001,0.9998,243.49K,0.02%
9/17/2024,0.9998,0.9999,1,0.9997,195.87K,-0.01%
9/16/2024,0.9999,0.9998,1.0094,0.9997,866.49K,0.01%
9/15/2024,0.9998,1,1,0.9995,185.84K,-0.02%
9/14/2024,1,1.0001,1.0002,0.9974,206.18K,-0.02%
9/13/2024,1.0001,1,1.0002,0.9971,335.83K,0.02%
9/12/2024,1,0.9998,1.0002,0.9997,209.55K,0.02%
9/11/2024,0.9998,0.9999,0.9999,0.9995,219.33K,0.00%
9/10/2024,0.9999,0.9998,1.0003,0.9997,402.60K,0.01%
9/9/2024,0.9998,0.9998,1.0003,0.9998,407.27K,0.00%
9/8/2024,0.9998,1.0005,1.0009,0.9996,223.61K,-0.06%
9/7/2024,1.0005,0.9997,1.0036,0.9995,1.48M,0.08%
9/6/2024,0.9997,0.9997,1.0002,0.9993,390.01K,-0.01%
9/5/2024,0.9997,0.9999,1,0.9996,432.44K,-0.01%
9/4/2024,0.9999,0.9998,1.0001,0.9996,318.59K,0.01%
9/3/2024,0.9998,0.9999,1.0001,0.9997,350.15K,-0.01%
9/2/2024,0.9999,0.9998,1.0001,0.9997,2.23M,0.01%
9/1/2024,0.9998,0.9993,0.9999,0.9993,827.97K,0.05%
8/31/2024,0.9993,0.9996,0.9999,0.9992,247.20K,-0.03%
8/30/2024,0.9996,0.9999,1.0001,0.9996,497.65K,-0.03%
8/29/2024,0.9999,0.9996,1.0001,0.9993,786.25K,0.03%
8/28/2024,0.9996,0.9991,0.9999,0.9991,397.12K,0.05%
8/27/2024,0.9991,0.9998,1,0.9989,408.47K,-0.07%
8/26/2024,0.9998,0.9997,0.9999,0.9996,475.62K,0.01%
8/25/2024,0.9997,1.0001,1.0016,0.9997,254.64K,-0.04%
8/24/2024,1.0001,0.9997,1.0005,0.9996,286.26K,0.04%
8/23/2024,0.9997,0.9994,1.0061,0.9987,1.37M,0.03%
8/22/2024,0.9994,0.9995,0.9999,0.9988,474.81K,-0.01%
8/21/2024,0.9995,0.9992,0.9998,0.9987,483.86K,0.04%
8/20/2024,0.9992,0.9988,1.0004,0.9983,967.47K,0.04%
8/19/2024,0.9988,0.9986,1.0001,0.9975,684.92K,0.02%
8/18/2024,0.9986,0.9986,1.0004,0.9969,354.70K,0.00%
8/17/2024,0.9986,0.9995,1.0027,0.9975,380.51K,-0.08%
8/16/2024,0.9995,0.9997,1,0.9989,251.26K,-0.02%
8/15/2024,0.9997,0.9999,0.9999,0.9996,254.66K,-0.02%
8/14/2024,0.9999,0.9995,0.9999,0.9994,408.92K,0.03%
8/13/2024,0.9995,0.9997,0.9998,0.9991,587.76K,-0.02%
8/12/2024,0.9997,0.9995,1.0008,0.9993,671.90K,0.02%
8/11/2024,0.9995,0.9996,1,0.999,190.63K,-0.01%
8/10/2024,0.9996,0.9994,1,0.9991,173.21K,0.02%
8/9/2024,0.9994,0.9998,1.0001,0.9992,870.31K,-0.04%
8/8/2024,0.9998,0.9997,0.9999,0.999,581.66K,0.01%
8/7/2024,0.9997,0.9997,1,0.9995,318.53K,0.00%
8/6/2024,0.9997,0.9999,1.0002,0.9996,731.56K,-0.02%
8/5/2024,0.9999,1,1.0058,0.999,1.74M,0.00%
8/4/2024,1,0.9997,1.0006,0.9997,1.33M,0.02%
8/3/2024,0.9997,0.9999,1.0005,0.9996,426.52K,-0.01%
8/2/2024,0.9999,1,1.0003,0.9997,689.68K,-0.01%
8/1/2024,1,0.9998,1.0002,0.9986,880.47K,0.02%
7/31/2024,0.9998,1.0001,1.0003,0.9997,586.19K,-0.03%
7/30/2024,1.0001,1.0001,1.0005,0.9995,467.67K,0.00%
7/29/2024,1.0001,0.9999,1.0004,0.9993,567.18K,0.02%
7/28/2024,0.9999,0.9999,1.0001,0.9996,203.92K,0.00%
7/27/2024,0.9999,0.9995,1.0001,0.9993,242.90K,0.04%
7/26/2024,0.9995,0.9992,1.0002,0.9992,289.44K,0.03%
7/25/2024,0.9992,0.9997,1.0001,0.9992,391.18K,-0.05%
7/24/2024,0.9997,0.9998,1.0003,0.9991,283.09K,-0.01%
7/23/2024,0.9998,0.9995,1,0.9994,441.80K,0.04%
7/22/2024,0.9995,0.9988,0.9997,0.9987,296.44K,0.07%
7/21/2024,0.9988,0.9991,0.9996,0.9985,246.52K,-0.03%
7/20/2024,0.999,0.9996,0.9998,0.999,260.77K,-0.05%
7/19/2024,0.9996,0.9996,0.9998,0.9992,430.70K,0.00%
7/18/2024,0.9996,0.9997,0.9998,0.9994,649.87K,-0.02%
7/17/2024,0.9997,0.9997,0.9999,0.9994,485.18K,-0.01%
7/16/2024,0.9998,0.9998,1.0002,0.9993,524.71K,-0.01%
7/15/2024,0.9998,0.9999,1.0001,0.9996,297.11K,-0.01%
7/14/2024,0.9999,0.9997,0.9999,0.9996,211.48K,0.02%
7/13/2024,0.9997,0.9999,1.0003,0.9995,242.03K,-0.02%
7/12/2024,0.9999,0.9998,1,0.9997,653.35K,0.01%
7/11/2024,0.9998,0.9998,1,0.9989,1.49M,0.00%
7/10/2024,0.9998,0.9995,1,0.9993,701.04K,0.03%
7/9/2024,0.9995,0.9998,0.9999,0.9994,256.05K,-0.02%
7/8/2024,0.9997,0.9995,1.0001,0.9949,597.81K,0.02%
7/7/2024,0.9995,0.9998,0.9999,0.9995,258.36K,-0.02%
7/6/2024,0.9997,0.9998,1.0005,0.9996,309.40K,0.00%
7/5/2024,0.9998,0.9995,1.0081,0.9991,1.02M,0.02%
7/4/2024,0.9995,0.9997,1,0.9994,597.38K,-0.02%
7/3/2024,0.9997,0.9996,0.9999,0.9994,487.89K,0.02%
7/2/2024,0.9996,0.9995,1.0001,0.9992,374.02K,0.00%
7/1/2024,0.9995,0.9997,0.9999,0.9986,550.06K,-0.02%
6/30/2024,0.9997,0.9997,1,0.9974,797.70K,0.00%
6/29/2024,0.9997,0.9998,1.0002,0.9995,139.84K,-0.01%
6/28/2024,0.9998,0.9996,1.0001,0.9995,534.66K,0.02%
6/27/2024,0.9996,0.9995,0.9999,0.9994,456.65K,0.01%
6/26/2024,0.9995,0.9998,0.9999,0.9994,836.60K,-0.03%
6/25/2024,0.9998,0.9998,1.0002,0.9994,416.04K,0.00%
6/24/2024,0.9998,0.9998,1.001,0.9996,1.31M,0.01%
6/23/2024,0.9998,0.9999,1,0.999,812.70K,-0.01%
6/22/2024,0.9999,0.9996,1.0001,0.9993,397.51K,0.03%
6/21/2024,0.9996,0.9999,1.0001,0.9994,565.40K,-0.02%
6/20/2024,0.9999,0.9988,1,0.9988,652.48K,0.11%
6/19/2024,0.9988,0.9988,0.9997,0.9978,438.61K,-0.01%
6/18/2024,0.9988,0.9998,0.9999,0.9988,1.02M,-0.09%
6/17/2024,0.9998,0.9998,1.0005,0.9993,292.05K,0.00%
6/16/2024,0.9998,0.9999,1,0.9995,209.19K,-0.01%
6/15/2024,0.9999,1,1.0005,0.9997,225.56K,-0.01%
6/14/2024,1,0.9998,1.0005,0.9997,671.63K,0.01%
6/13/2024,0.9998,0.9998,1,0.9996,389.47K,0.00%
6/12/2024,0.9998,0.9997,1.0008,0.9993,445.11K,0.01%
6/11/2024,0.9997,0.9997,1,0.9988,574.03K,0.00%
6/10/2024,0.9997,0.9996,1,0.9986,473.95K,0.01%
6/9/2024,0.9996,0.9999,1,0.998,522.92K,-0.02%
6/8/2024,0.9999,0.9998,1,0.9988,617.46K,0.01%
6/7/2024,0.9998,0.9998,1.0002,0.9994,642.96K,0.00%
6/6/2024,0.9998,0.9997,1.0003,0.9994,532.96K,0.01%
6/5/2024,0.9997,0.9997,1.0003,0.9995,447.97K,0.00%
6/4/2024,0.9997,0.9997,0.9998,0.9989,531.37K,0.00%
6/3/2024,0.9997,0.9999,0.9999,0.9996,607.27K,-0.01%
6/2/2024,0.9999,0.9998,0.9999,0.9996,238.61K,0.01%
6/1/2024,0.9998,0.9996,0.9999,0.9995,744.37K,0.02%
5/31/2024,0.9996,0.9995,1.0001,0.9993,1.05M,0.01%
5/30/2024,0.9995,0.9996,0.9999,0.999,604.81K,-0.01%
5/29/2024,0.9996,0.999,0.9999,0.9981,946.10K,0.06%
