Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,69.982,71.11,71.49,69.016,447.36K,-1.59%
9/27/2024,71.11,68.562,71.196,68.315,524.06K,3.72%
9/26/2024,68.562,66.56,68.565,65.648,393.95K,3.01%
9/25/2024,66.56,66.696,67.842,65.922,322.22K,-0.20%
9/24/2024,66.692,66.954,67.16,65.69,394.83K,-0.40%
9/23/2024,66.957,68.712,69.275,66.683,402.13K,-2.56%
9/22/2024,68.712,66.84,68.765,66.513,401.36K,2.80%
9/21/2024,66.84,65.328,67.125,64.845,302.78K,2.31%
9/20/2024,65.328,65.425,66.436,64.355,465.71K,-0.15%
9/19/2024,65.425,64.83,66.05,64.698,449.13K,0.95%
9/18/2024,64.812,63.783,64.817,62.447,397.82K,1.61%
9/17/2024,63.785,62.624,64.032,61.958,409.68K,1.86%
9/16/2024,62.624,63.252,63.734,62.108,357.81K,-1.00%
9/15/2024,63.257,65.91,66.306,62.975,393.06K,-4.02%
9/14/2024,65.908,64.925,66.74,64.887,520.53K,1.55%
9/13/2024,64.901,62.845,64.985,62.424,528.14K,3.27%
9/12/2024,62.845,62.175,63.127,61.532,495.62K,1.08%
9/11/2024,62.175,61.517,62.408,60.142,644.70K,1.07%
9/10/2024,61.517,61.42,61.765,60.357,498.92K,0.16%
9/9/2024,61.42,60.906,61.742,59.667,795.77K,0.84%
9/8/2024,60.909,62.073,62.284,59.976,572.74K,-1.92%
9/7/2024,62.101,63.04,64.147,61.667,458.46K,-1.49%
9/6/2024,63.038,66.068,66.792,61.248,646.86K,-4.62%
9/5/2024,66.091,65.416,68.439,64.44,962.94K,1.03%
9/4/2024,65.416,64.351,66.205,62.207,589.89K,1.67%
9/3/2024,64.34,65.37,66.369,64.317,434.49K,-1.57%
9/2/2024,65.37,63.57,65.723,62.639,455.14K,2.82%
9/1/2024,63.578,64.97,65.1,62.924,346.80K,-2.14%
8/31/2024,64.97,64.91,66.373,64.87,426.77K,0.10%
8/30/2024,64.903,62.506,65.405,61.58,601.19K,3.83%
8/29/2024,62.506,61.806,63.888,61.092,801.24K,1.14%
8/28/2024,61.802,60.438,62.37,59.48,493.70K,2.23%
8/27/2024,60.452,63.066,63.962,59.211,536.43K,-4.17%
8/26/2024,63.08,64.816,65.082,63.07,422.49K,-2.73%
8/25/2024,64.854,66.578,66.866,64.438,348.04K,-2.59%
8/24/2024,66.576,66.12,67.98,65.442,428.25K,0.70%
8/23/2024,66.112,63.791,66.784,63.53,538.81K,3.64%
8/22/2024,63.791,64.294,64.355,62.593,409.21K,-0.80%
8/21/2024,64.306,64.41,64.761,62.055,625.41K,-0.17%
8/20/2024,64.417,66.322,67.288,63.222,547.71K,-2.87%
8/19/2024,66.322,66.344,67.422,66.008,429.16K,-0.03%
8/18/2024,66.344,67.567,68.112,66.142,364.37K,-1.80%
8/17/2024,67.558,66.51,67.834,65.903,306.24K,1.57%
8/16/2024,66.513,65.324,66.757,64.368,598.44K,1.89%
8/15/2024,65.282,64.062,66.857,63.597,827.25K,1.90%
8/14/2024,64.064,63.437,64.683,62.732,465.13K,0.98%
8/13/2024,63.444,61.508,63.463,61.145,420.05K,3.15%
8/12/2024,61.508,59.717,62.017,59.278,575.42K,3.04%
8/11/2024,59.695,61.172,62.277,58.942,415.14K,-2.41%
8/10/2024,61.172,60.73,61.545,60.147,252.99K,0.73%
8/9/2024,60.73,61.143,61.233,59.418,388.39K,-0.74%
8/8/2024,61.184,55.94,61.906,55.254,519.66K,9.38%
8/7/2024,55.937,58.25,59.487,55.446,866.29K,-3.98%
8/6/2024,58.256,56.076,59.287,56.03,716.02K,3.90%
8/5/2024,56.071,62.452,62.558,50.313,3.56M,-10.21%
8/4/2024,62.444,64.664,65.206,60.396,533.85K,-3.45%
8/3/2024,64.672,65.074,66.364,62.618,617.79K,-0.61%
8/2/2024,65.066,69.604,69.953,64.16,637.24K,-6.54%
8/1/2024,69.617,70.147,71.429,66.07,598.28K,-0.76%
7/31/2024,70.153,71.697,72.896,69.967,375.05K,-2.16%
7/30/2024,71.703,73.7,74.548,71.19,337.37K,-2.72%
7/29/2024,73.708,71.073,76.716,71.051,998.10K,3.71%
7/28/2024,71.073,71.317,71.755,70.357,211.13K,-0.32%
7/27/2024,71.303,71.31,72.322,70.452,341.44K,-0.01%
7/26/2024,71.31,68.812,71.676,68.767,336.16K,3.60%
7/25/2024,68.835,71.26,71.647,67.341,757.79K,-3.40%
7/24/2024,71.26,72.9,73.644,70.754,402.25K,-2.25%
7/23/2024,72.903,71.256,73.05,70.493,487.73K,2.32%
7/22/2024,71.247,73.97,74.6,70.774,576.03K,-3.68%
7/21/2024,73.967,73.037,74.093,71.501,374.94K,1.27%
7/20/2024,73.037,73.407,73.874,72.327,279.06K,-0.50%
7/19/2024,73.407,71.637,74.106,69.703,544.45K,2.47%
7/18/2024,71.637,71.375,72.928,70.55,321.66K,0.37%
7/17/2024,71.372,73.2,74.23,71.201,463.01K,-2.50%
7/16/2024,73.2,72.299,74.02,70.359,671.54K,1.18%
7/15/2024,72.348,69.937,72.52,69.74,623.99K,3.47%
7/14/2024,69.924,69.81,70.483,69.257,331.98K,0.17%
7/13/2024,69.807,69.247,70.591,69.148,373.25K,0.80%
7/12/2024,69.255,67.355,69.41,66.802,547.71K,2.82%
7/11/2024,67.355,66.97,69.105,66.453,390.44K,0.57%
7/10/2024,66.97,65.293,67.266,64.537,370.87K,2.57%
7/9/2024,65.293,64.921,66.264,64.286,318.23K,0.57%
7/8/2024,64.921,61.991,66.202,59.3,762.26K,4.72%
7/7/2024,61.993,65.393,65.537,61.667,390.23K,-5.22%
7/6/2024,65.407,61.84,65.633,61.427,466.73K,5.77%
7/5/2024,61.84,65.374,65.523,57.331,2.14M,-5.41%
7/4/2024,65.374,72.157,72.416,65.093,946.83K,-9.40%
7/3/2024,72.157,76.038,76.207,71.81,579.91K,-5.10%
7/2/2024,76.038,74.376,76.16,74.294,323.74K,2.23%
7/1/2024,74.379,75.316,75.957,74.209,379.92K,-1.24%
6/30/2024,75.313,74.937,75.971,74.136,438.96K,0.50%
6/29/2024,74.937,72.9,76.757,72.886,489.24K,2.78%
6/28/2024,72.909,73.276,74.714,72.604,592.32K,-0.50%
6/27/2024,73.276,71.008,73.336,70.562,386.93K,3.19%
6/26/2024,71.008,71.34,71.95,70.47,377.43K,-0.47%
6/25/2024,71.34,69.68,71.95,69.423,512.60K,2.37%
6/24/2024,69.685,73.36,73.428,67.801,982.47K,-4.99%
6/23/2024,73.346,74.576,75.06,73.342,282.04K,-1.64%
6/22/2024,74.567,74.162,74.882,73.57,232.33K,0.55%
6/21/2024,74.16,74.724,74.724,72.198,649.40K,-0.76%
6/20/2024,74.726,73.738,75.35,73.258,469.11K,1.34%
6/19/2024,73.738,72.656,74.95,72.504,432.31K,1.49%
6/18/2024,72.656,76.597,76.745,70.778,1.26M,-5.15%
6/17/2024,76.597,78.995,79.235,75.224,592.20K,-3.04%
6/16/2024,78.995,79.24,80.13,78.632,245.78K,-0.31%
6/15/2024,79.237,77.608,79.464,77.47,281.53K,2.10%
6/14/2024,77.608,79.155,80.272,76.395,672.61K,-1.96%
6/13/2024,79.157,78.506,79.78,77.34,517.74K,0.83%
6/12/2024,78.506,77.31,79.255,76.359,672.73K,1.55%
6/11/2024,77.306,79.67,79.79,75.887,1.05M,-2.97%
6/10/2024,79.67,80.49,80.498,79.09,320.84K,-1.02%
6/9/2024,80.487,79.975,80.707,79.518,220.78K,0.64%
6/8/2024,79.975,80.122,80.45,78.985,337.87K,-0.18%
6/7/2024,80.122,84.193,84.827,75.695,1.31M,-4.84%
6/6/2024,84.193,85.42,85.817,84.177,413.82K,-1.44%
6/5/2024,85.42,83.653,85.45,83.513,405.80K,2.11%
6/4/2024,83.653,82.827,83.693,81.165,461.68K,1.00%
6/3/2024,82.822,83.112,84.276,82.689,491.75K,-0.35%
6/2/2024,83.115,83.472,83.512,82.218,340.22K,-0.43%
6/1/2024,83.47,83.208,83.738,82.946,215.51K,0.32%
5/31/2024,83.208,84.426,84.7,82.091,456.87K,-1.44%
5/30/2024,84.42,83.583,85.502,81.963,627.94K,0.99%
5/29/2024,83.594,83.436,84.173,82.709,490.74K,0.19%
5/28/2024,83.439,85.243,85.522,82.114,668.24K,-2.11%
5/27/2024,85.24,83.913,86.413,83.826,490.55K,1.58%
5/26/2024,83.916,84.983,85.256,83.603,388.07K,-1.26%
5/25/2024,84.986,85.002,85.962,84.45,361.79K,-0.01%
5/24/2024,84.995,85.477,86.47,84.02,771.51K,-0.57%
5/23/2024,85.483,85.773,87.94,81.633,1.49M,-0.34%
5/22/2024,85.773,88.256,88.48,84.913,827.25K,-2.81%
5/21/2024,88.256,88.66,89.531,87.064,1.27M,-0.46%
5/20/2024,88.664,82.379,89.065,82.376,940.42K,7.64%
5/19/2024,82.37,83.846,84.383,81.796,328.73K,-1.76%
5/18/2024,83.846,84.153,84.746,83.503,300.61K,-0.37%
5/17/2024,84.158,82.433,84.195,81.935,449.39K,2.09%
5/16/2024,82.433,82.448,83.243,81.397,478.70K,-0.04%
5/15/2024,82.463,78.787,82.84,78.263,610.30K,4.66%
5/14/2024,78.79,80.62,81.376,78.654,693.68K,-2.27%
5/13/2024,80.62,81.417,82.531,78.979,632.52K,-0.97%
5/12/2024,81.41,81.385,82.165,80.911,247.59K,0.02%
5/11/2024,81.39,80.223,82.248,80.16,355.32K,1.46%
5/10/2024,80.217,83.071,83.48,79.639,573.30K,-3.43%
5/9/2024,83.064,81.69,83.134,80.747,495.72K,1.68%
5/8/2024,81.69,80.858,82.208,79.355,720.46K,1.03%
5/7/2024,80.858,80.786,82.587,80.01,639.21K,0.09%
5/6/2024,80.786,81.337,84.043,80.087,833.46K,-0.66%
5/5/2024,81.323,81.654,81.741,80.396,467.30K,-0.41%
5/4/2024,81.654,81.853,82.973,81.578,414.76K,-0.24%
5/3/2024,81.853,80.04,82.618,79.37,573.22K,2.26%
5/2/2024,80.04,80.157,81.267,78.657,575.07K,-0.15%
5/1/2024,80.157,79.494,80.89,74.654,1.07M,0.83%
4/30/2024,79.494,83.516,84.52,77.467,869.00K,-4.80%
4/29/2024,83.503,83.972,85.569,81.776,726.78K,-0.55%
4/28/2024,83.966,83.883,85.423,83.637,541.70K,0.10%
4/27/2024,83.883,88.092,88.453,83.333,969.36K,-4.73%
4/26/2024,88.048,83.788,88.53,83.127,1.48M,5.08%
4/25/2024,83.788,83.219,85.042,81.969,1.16M,0.70%
4/24/2024,83.203,85.022,87.692,82.381,1.29M,-2.14%
4/23/2024,85.022,85.39,86.216,84.07,582.86K,-0.43%
4/22/2024,85.39,84.141,86.487,83.974,784.91K,1.48%
4/21/2024,84.141,85.071,85.674,82.827,501.60K,-1.09%
4/20/2024,85.071,80.861,85.936,80.277,624.44K,5.21%
4/19/2024,80.861,80.766,82.128,76.034,1.07M,0.12%
4/18/2024,80.766,80.184,82.417,78.704,1.28M,0.73%
4/17/2024,80.184,79.934,80.783,76.377,947.68K,0.30%
4/16/2024,79.943,78.075,80.419,75.504,1.13M,2.40%
4/15/2024,78.068,79.762,82.788,75.738,2.21M,-2.12%
4/14/2024,79.762,77.323,80.318,73.794,2.52M,3.22%
4/13/2024,77.277,86.092,86.522,70.857,4.57M,-10.26%
4/12/2024,86.112,98.763,99.523,80.429,3.48M,-12.81%
4/11/2024,98.763,96.7,99.913,94.917,1.22M,2.13%
4/10/2024,96.7,97.553,98.283,93.865,1.32M,-0.88%
4/9/2024,97.557,103.31,103.421,96.547,1.37M,-5.57%
4/8/2024,103.31,101.243,105.89,99.764,1.61M,2.03%
4/7/2024,101.254,101.565,105.8,100.27,1.31M,-0.30%
4/6/2024,101.559,97.833,102.43,97.19,1.09M,3.81%
4/5/2024,97.836,98.401,100.177,95.168,1.82M,-0.58%
4/4/2024,98.41,98.326,104.048,96.358,2.55M,0.12%
4/3/2024,98.297,106.759,109.613,96.566,2.60M,-7.93%
4/2/2024,106.762,99.246,108.916,93.725,4.17M,7.58%
4/1/2024,99.243,105.051,112.652,97.318,3.66M,-5.53%
3/31/2024,105.054,102.845,106.623,101.56,1.49M,2.14%
3/30/2024,102.85,108.89,108.979,101.176,1.68M,-5.56%
3/29/2024,108.905,94.09,110.067,92.977,5.27M,15.75%
