Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,5.5068,5.4558,5.5568,5.3554,19.66M,0.93%
9/27/2024,5.4558,5.5482,5.7479,5.3655,26.39M,-1.68%
9/26/2024,5.5492,5.1426,5.8592,5.1264,35.82M,7.90%
9/25/2024,5.1431,5.3494,5.4484,5.1121,18.09M,-3.85%
9/24/2024,5.3489,5.1734,5.3867,5.0606,25.40M,3.39%
9/23/2024,5.1734,4.528,5.2461,4.4096,43.84M,14.24%
9/22/2024,4.5284,4.649,4.6574,4.3854,16.33M,-2.60%
9/21/2024,4.6493,4.384,4.6644,4.2904,15.10M,6.06%
9/20/2024,4.3837,4.3624,4.4992,4.2583,22.75M,0.49%
9/19/2024,4.3623,4.2493,4.5793,4.2493,29.35M,2.67%
9/18/2024,4.2491,4.1328,4.2498,3.9382,19.22M,2.81%
9/17/2024,4.1328,3.8788,4.2952,3.8363,18.58M,6.55%
9/16/2024,3.8788,4.0173,4.0278,3.8507,13.47M,-3.46%
9/15/2024,4.0177,4.1926,4.261,4.0077,11.24M,-4.17%
9/14/2024,4.1925,4.2867,4.3028,4.1562,8.79M,-2.20%
9/13/2024,4.2867,4.2449,4.34,4.1195,15.65M,0.98%
9/12/2024,4.2449,3.9679,4.299,3.9678,19.69M,6.98%
9/11/2024,3.9679,4.0338,4.0512,3.8254,16.93M,-1.65%
9/10/2024,4.0346,4.0155,4.0769,3.9433,11.95M,0.48%
9/9/2024,4.0155,3.7551,4.09,3.7551,17.04M,6.93%
9/8/2024,3.7552,3.6661,3.8159,3.6464,12.24M,2.43%
9/7/2024,3.6662,3.5498,3.7503,3.5446,12.00M,3.27%
9/6/2024,3.55,3.7121,3.8067,3.432,22.34M,-4.35%
9/5/2024,3.7116,3.8868,3.9231,3.699,13.49M,-4.51%
9/4/2024,3.8868,3.7254,3.9364,3.5804,17.15M,4.34%
9/3/2024,3.725,3.9893,4.0721,3.7168,15.73M,-6.65%
9/2/2024,3.9903,3.8501,4.0215,3.8419,15.82M,3.65%
9/1/2024,3.8498,4.0324,4.0701,3.8184,12.62M,-4.53%
8/31/2024,4.0324,4.1119,4.1613,3.9808,9.95M,-1.93%
8/30/2024,4.1117,4.2125,4.3015,3.9503,17.26M,-2.39%
8/29/2024,4.2125,4.3424,4.5381,4.1381,16.19M,-3.12%
8/28/2024,4.3482,4.5354,4.5992,4.2304,25.97M,-4.12%
8/27/2024,4.535,4.7803,5.0061,4.4402,23.18M,-5.20%
8/26/2024,4.7837,4.9294,4.9944,4.7144,14.58M,-2.95%
8/25/2024,4.929,5.0418,5.0669,4.7917,13.79M,-2.24%
8/24/2024,5.0418,4.8377,5.245,4.75,16.21M,4.25%
8/23/2024,4.8364,4.3007,4.8482,4.3007,21.30M,12.46%
8/22/2024,4.3006,4.2447,4.3614,4.1751,13.19M,1.33%
8/21/2024,4.2443,4.0006,4.2962,3.9684,15.63M,6.09%
