Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,4.814,4.885,4.926,4.761,48.71M,-1.45%
9/27/2024,4.885,4.816,4.961,4.812,30.03M,1.43%
9/26/2024,4.816,4.637,4.874,4.569,76.48M,3.87%
9/25/2024,4.637,4.636,4.769,4.597,9.54M,-0.03%
9/24/2024,4.638,4.458,4.677,4.404,39.70M,4.05%
9/23/2024,4.458,4.312,4.46,4.246,8.50M,3.39%
9/22/2024,4.312,4.462,4.476,4.242,5.83M,-3.37%
9/21/2024,4.462,4.34,4.472,4.287,5.90M,2.81%
9/20/2024,4.34,4.255,4.398,4.192,10.81M,2.00%
9/19/2024,4.255,4.172,4.347,4.172,11.20M,2.00%
9/18/2024,4.172,4.158,4.174,3.98,17.34M,0.33%
9/17/2024,4.158,4.195,4.28,4.14,7.87M,-0.87%
9/16/2024,4.194,4.397,4.397,4.151,7.63M,-4.60%
9/15/2024,4.397,4.436,4.556,4.368,7.07M,-0.90%
9/14/2024,4.436,4.422,4.444,4.349,4.43M,0.31%
9/13/2024,4.422,4.294,4.467,4.277,7.89M,2.99%
9/12/2024,4.294,4.191,4.299,4.19,5.30M,2.44%
9/11/2024,4.191,4.252,4.255,4.068,25.10M,-1.50%
9/10/2024,4.255,4.287,4.287,4.202,4.42M,-0.74%
9/9/2024,4.287,4.161,4.332,4.114,6.73M,3.03%
9/8/2024,4.161,4.08,4.203,4.061,3.61M,2.00%
9/7/2024,4.08,3.959,4.13,3.937,8.00M,3.05%
9/6/2024,3.959,4.021,4.094,3.83,9.66M,-1.54%
9/5/2024,4.021,4.112,4.126,3.977,15.74M,-2.23%
9/4/2024,4.112,4.061,4.188,3.912,16.92M,1.26%
9/3/2024,4.061,4.207,4.278,4.059,5.62M,-3.48%
9/2/2024,4.207,4.076,4.225,4.062,7.00M,3.22%
9/1/2024,4.076,4.257,4.258,4.046,9.55M,-4.24%
8/31/2024,4.257,4.278,4.314,4.227,8.23M,-0.51%
8/30/2024,4.278,4.245,4.327,4.115,32.82M,0.80%
8/29/2024,4.245,4.254,4.392,4.199,37.77M,-0.39%
8/28/2024,4.261,4.38,4.445,4.201,13.39M,-2.71%
8/27/2024,4.38,4.563,4.657,4.265,15.57M,-4.03%
8/26/2024,4.564,4.824,4.859,4.541,22.24M,-5.47%
8/25/2024,4.827,4.983,4.984,4.762,12.28M,-3.05%
8/24/2024,4.979,4.898,5.092,4.847,12.95M,1.66%
8/23/2024,4.898,4.69,4.942,4.686,14.20M,4.41%
8/22/2024,4.691,4.664,4.711,4.608,11.99M,0.57%
8/21/2024,4.664,4.524,4.746,4.509,10.61M,3.11%
8/20/2024,4.524,4.482,4.601,4.465,11.35M,1.03%
