Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,0.00001997,0.00002026,0.00002144,0.00001907,"15,479.32B",-1.43%
9/27/2024,0.00002026,0.00001862,0.00002158,0.00001856,"19,683.09B",8.81%
9/26/2024,0.00001862,0.00001525,0.00001933,0.00001492,"19,753.84B",22.10%
9/25/2024,0.00001525,0.00001483,0.00001573,0.00001473,"6,421.79B",2.90%
9/24/2024,0.00001482,0.00001448,0.0000149,0.00001429,"3,652.05B",2.35%
9/23/2024,0.00001448,0.00001453,0.00001486,0.00001423,"3,649.14B",-0.41%
9/22/2024,0.00001454,0.00001499,0.00001506,0.00001417,"3,299.91B",-3.00%
9/21/2024,0.00001499,0.00001438,0.00001502,0.00001411,"3,272.80B",4.24%
9/20/2024,0.00001438,0.00001409,0.0000145,0.00001389,"3,678.62B",2.06%
9/19/2024,0.00001409,0.00001368,0.00001456,0.00001368,"5,490.23B",3.00%
9/18/2024,0.00001368,0.00001331,0.00001368,0.00001298,"3,501.42B",2.78%
9/17/2024,0.00001331,0.00001318,0.00001356,0.00001304,"2,581.02B",0.99%
9/16/2024,0.00001318,0.00001339,0.00001345,0.00001301,"2,949.16B",-1.57%
9/15/2024,0.00001339,0.00001373,0.00001385,0.00001332,"1,898.98B",-2.48%
9/14/2024,0.00001373,0.00001396,0.00001405,0.00001361,"2,127.67B",-1.65%
9/13/2024,0.00001396,0.00001351,0.0000141,0.00001338,"2,848.78B",3.33%
9/12/2024,0.00001351,0.00001325,0.00001353,0.00001319,"2,149.35B",1.96%
9/11/2024,0.00001325,0.00001353,0.00001355,0.00001295,"3,018.94B",-2.07%
9/10/2024,0.00001353,0.00001354,0.00001368,0.00001331,"2,364.75B",0.07%
9/9/2024,0.00001352,0.00001308,0.00001371,0.00001299,"3,414.68B",3.44%
9/8/2024,0.00001307,0.00001287,0.00001316,0.00001281,"1,878.41B",1.55%
9/7/2024,0.00001287,0.0000128,0.00001302,0.00001272,"2,008.00B",0.55%
9/6/2024,0.0000128,0.00001319,0.00001344,0.00001233,"4,603.85B",-2.96%
9/5/2024,0.00001319,0.00001359,0.00001363,0.00001306,"2,590.02B",-2.94%
9/4/2024,0.00001359,0.00001308,0.00001367,0.00001246,"4,490.31B",3.98%
9/3/2024,0.00001307,0.00001366,0.00001384,0.00001307,"2,446.25B",-4.32%
9/2/2024,0.00001366,0.00001316,0.00001371,0.00001311,"2,988.11B",3.80%
9/1/2024,0.00001316,0.00001384,0.00001386,0.00001308,"3,176.68B",-4.91%
8/31/2024,0.00001384,0.000014,0.0000141,0.00001373,"1,506.58B",-1.14%
8/30/2024,0.000014,0.00001407,0.00001421,0.00001367,"3,952.82B",-0.50%
8/29/2024,0.00001407,0.00001385,0.00001453,0.00001382,"3,631.28B",1.59%
8/28/2024,0.00001385,0.00001377,0.00001417,0.00001343,"4,886.42B",0.58%
8/27/2024,0.00001377,0.00001462,0.00001483,0.00001344,"5,622.06B",-5.81%
8/26/2024,0.00001462,0.00001512,0.00001524,0.00001436,"4,827.68B",-3.31%
8/25/2024,0.00001512,0.00001563,0.00001565,0.00001472,"5,013.98B",-3.26%
8/24/2024,0.00001563,0.00001529,0.00001609,0.00001509,"5,758.11B",2.22%
8/23/2024,0.00001529,0.00001405,0.00001549,0.00001403,"6,697.46B",8.90%
8/22/2024,0.00001404,0.0000141,0.00001437,0.00001385,"3,487.85B",-0.43%
8/21/2024,0.0000141,0.00001364,0.00001421,0.00001351,"3,504.45B",3.37%
8/20/2024,0.00001364,0.00001333,0.00001392,0.00001331,"4,131.49B",2.33%
8/19/2024,0.00001333,0.00001323,0.00001351,0.00001299,"3,536.43B",0.76%
8/18/2024,0.00001323,0.00001337,0.00001358,0.00001322,"1,857.81B",-1.12%
8/17/2024,0.00001338,0.00001321,0.00001341,0.00001315,"1,497.82B",1.29%
8/16/2024,0.00001321,0.00001326,0.00001349,0.00001293,"2,756.34B",-0.38%
8/15/2024,0.00001326,0.00001361,0.00001375,0.00001313,"3,744.48B",-2.57%
8/14/2024,0.00001361,0.00001389,0.00001403,0.00001347,"3,090.60B",-2.02%
