Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,157.392,157.647,159.396,155.152,3.76M,-0.16%
9/27/2024,157.647,155.549,160.986,154.017,4.99M,1.35%
9/26/2024,155.548,147.999,157.981,146.59,5.59M,5.10%
9/25/2024,147.999,152.666,153.758,147.366,3.81M,-3.07%
9/24/2024,152.684,144.714,153.921,143.291,5.54M,5.51%
9/23/2024,144.713,144.687,148.985,142.203,4.47M,-0.01%
9/22/2024,144.732,149.419,149.87,141.285,3.05M,-3.13%
9/21/2024,149.414,146.699,149.797,144.669,2.70M,1.85%
9/20/2024,146.699,142.872,152.125,141.234,5.96M,2.68%
9/19/2024,142.874,134.327,143.908,134.327,6.04M,6.36%
9/18/2024,134.327,131.54,134.327,127.196,4.70M,2.12%
9/17/2024,131.54,131.405,135.5,130.359,3.43M,0.10%
9/16/2024,131.405,131.419,132.31,129.068,3.14M,-0.02%
9/15/2024,131.425,137.157,137.916,130.801,2.76M,-4.18%
9/14/2024,137.158,139.069,139.755,135.73,2.14M,-1.37%
9/13/2024,139.069,136.038,139.744,131.812,3.85M,2.23%
9/12/2024,136.038,132.404,136.659,132.394,3.47M,2.75%
9/11/2024,132.404,135.619,135.875,128.347,4.31M,-2.36%
9/10/2024,135.604,135.05,137.863,132.573,3.38M,0.41%
9/9/2024,135.048,130.127,136.853,127.102,5.01M,3.81%
9/8/2024,130.092,127.729,131.538,126.654,2.83M,1.85%
9/7/2024,127.733,125.042,129.334,124.227,2.93M,2.16%
9/6/2024,125.031,129.462,134.215,120.927,7.68M,-3.42%
9/5/2024,129.462,133.652,135.3,127.96,3.91M,-3.13%
9/4/2024,133.652,127.505,134.826,122.836,5.71M,4.86%
9/3/2024,127.457,134.949,137.234,127.314,3.82M,-5.55%
9/2/2024,134.948,128.565,135.377,127.149,4.44M,4.96%
9/1/2024,128.572,135.342,136.031,127.87,4.27M,-5.00%
8/31/2024,135.342,137.98,139.183,134.545,1.92M,-1.91%
8/30/2024,137.975,140.025,141.067,132.328,5.44M,-1.46%
8/29/2024,140.025,143.928,147.31,138.186,4.10M,-2.71%
8/28/2024,143.928,146.923,148.709,140.658,5.65M,-2.04%
8/27/2024,146.921,157.137,159.544,145.275,5.10M,-6.50%
8/26/2024,157.136,159.057,161.878,155.594,4.46M,-1.22%
8/25/2024,159.083,160.667,161.951,155.331,3.56M,-0.99%
8/24/2024,160.667,153.15,162.146,152.014,5.21M,4.91%
8/23/2024,153.15,143.214,153.757,142.743,5.26M,6.95%
8/22/2024,143.194,142.719,144.78,140.82,2.73M,0.33%
8/21/2024,142.726,142.287,144.328,139.003,3.81M,0.30%
8/20/2024,142.295,144.308,148.629,141.173,4.35M,-1.39%
8/19/2024,144.304,142.406,145.548,140.39,3.98M,1.32%
8/18/2024,142.42,141.932,146.997,140.759,3.83M,0.36%
8/17/2024,141.914,139.044,141.941,137.664,2.34M,2.06%
8/16/2024,139.044,142.491,144.836,136.226,5.55M,-2.41%
8/15/2024,142.479,143.763,147.433,138.086,6.05M,-0.89%
8/14/2024,143.765,146.668,151.866,142.582,5.48M,-1.98%
8/13/2024,146.663,146.321,149.722,143.011,4.04M,0.23%
8/12/2024,146.321,141.455,150.688,141.419,6.77M,3.45%
8/11/2024,141.44,154.018,157.798,141.243,4.84M,-8.17%
8/10/2024,154.016,156.247,158.452,152.716,2.91M,-1.43%
8/9/2024,156.247,162.99,163.485,151.041,6.31M,-4.10%
8/8/2024,162.92,144.623,163.291,141.49,10.70M,12.81%
8/7/2024,144.422,144.429,154.964,142.476,11.67M,0.03%
8/6/2024,144.385,129.702,149.307,129.529,11.68M,11.32%
8/5/2024,129.702,138.288,139.091,110.155,34.18M,-6.13%
8/4/2024,138.174,142.442,146.004,131.836,9.60M,-3.00%
8/3/2024,142.442,152.837,153.893,140.109,7.40M,-6.80%
8/2/2024,152.837,167.48,169.337,150.067,8.07M,-8.76%
8/1/2024,167.504,171.678,172.776,158.034,8.05M,-2.43%
7/31/2024,171.678,179.084,184.27,171.678,4.87M,-4.12%
7/30/2024,179.061,182.55,184.683,175.628,4.55M,-1.94%
7/29/2024,182.606,184.906,193.89,181.681,5.72M,-1.24%
7/28/2024,184.904,183.818,186.579,181.303,2.79M,0.59%
7/27/2024,183.818,183.058,188.137,178.149,4.98M,0.42%
7/26/2024,183.058,171.842,183.506,171.842,4.41M,6.53%
7/25/2024,171.837,178.142,179.549,165.693,6.74M,-3.51%
7/24/2024,178.082,173.003,182.383,171.035,5.05M,2.94%
7/23/2024,173,178.961,180.495,170.868,5.13M,-3.33%
7/22/2024,178.958,184.414,184.86,176.837,4.47M,-2.96%
7/21/2024,184.414,173.614,184.959,170.733,5.01M,6.22%
7/20/2024,173.607,169.155,174.965,167.361,3.06M,2.63%
7/19/2024,169.153,159.214,171.244,156.287,6.56M,6.25%
7/18/2024,159.209,155.477,161.546,155.304,3.63M,2.50%
7/17/2024,155.325,160.62,163.602,154.712,4.10M,-3.24%
7/16/2024,160.527,159.614,162.444,152.744,5.54M,0.57%
7/15/2024,159.616,147.694,159.933,147.053,4.94M,8.08%
7/14/2024,147.687,141.884,148.536,141.884,4.19M,4.09%
7/13/2024,141.884,139.497,143.508,137.991,2.20M,1.71%
7/12/2024,139.497,135.734,140.504,134.091,4.19M,2.74%
7/11/2024,135.776,142.082,145.511,135.735,4.78M,-4.43%
7/10/2024,142.077,141.368,145.963,138.669,3.85M,0.50%
7/9/2024,141.368,139.713,144.039,136.548,4.78M,1.16%
7/8/2024,139.747,131.492,141.723,128.12,7.88M,6.30%
7/7/2024,131.462,143.101,143.288,131.355,3.76M,-8.16%
7/6/2024,143.147,134.306,144.084,132.452,4.11M,6.58%
7/5/2024,134.309,127.674,136.137,121.261,10.68M,5.20%
7/4/2024,127.674,140.774,142.676,127.292,7.37M,-9.29%
7/3/2024,140.744,153.905,154.439,139.49,6.14M,-8.55%
7/2/2024,153.909,146.671,154.946,146.142,4.07M,4.94%
7/1/2024,146.669,146.553,149.088,145.871,3.68M,0.07%
6/30/2024,146.56,140.189,147.427,137.177,3.35M,4.55%
6/29/2024,140.185,139.961,143.008,139.713,2.68M,0.18%
6/28/2024,139.93,149.713,150.387,139.015,5.03M,-6.53%
6/27/2024,149.703,136.793,150.96,135.224,6.31M,9.43%
6/26/2024,136.796,136.573,140.325,134.91,3.63M,0.16%
6/25/2024,136.573,132.326,139.822,131.208,6.08M,3.25%
6/24/2024,132.275,128.638,132.546,123.337,8.62M,2.82%
6/23/2024,128.644,133.692,135.071,128.219,2.44M,-3.77%
6/22/2024,133.689,134.529,136.625,133.101,1.97M,-0.63%
6/21/2024,134.536,133.527,135.309,128.772,4.77M,0.76%
6/20/2024,133.527,135.652,141.118,131.977,5.02M,-1.56%
6/19/2024,135.646,137.394,141.771,134.658,4.66M,-1.26%
6/18/2024,137.376,143.225,143.75,129.144,9.04M,-4.08%
6/17/2024,143.225,151.265,151.731,139.984,4.56M,-5.31%
6/16/2024,151.256,145.505,151.256,143.095,2.05M,3.96%
6/15/2024,145.5,143.056,145.687,142.962,1.94M,1.71%
6/14/2024,143.05,147.242,148.939,139.857,4.57M,-2.85%
6/13/2024,147.25,155.229,155.237,146.046,3.73M,-5.15%
6/12/2024,155.237,149.351,161.663,145.513,5.58M,3.94%
6/11/2024,149.351,159.048,159.644,145.666,5.57M,-6.10%
6/10/2024,159.049,162.129,163.123,157.623,2.59M,-1.90%
6/9/2024,162.136,157.818,163.014,156.625,2.18M,2.73%
