Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,0.154602,0.1551,0.155399,0.153794,234.63M,-0.32%
9/27/2024,0.1551,0.153191,0.155495,0.153191,332.99M,1.25%
9/26/2024,0.153191,0.150013,0.153516,0.149418,261.45M,2.12%
9/25/2024,0.150013,0.151297,0.151297,0.149907,190.54M,-0.84%
9/24/2024,0.151291,0.152395,0.152591,0.150811,231.60M,-0.72%
9/23/2024,0.152395,0.151713,0.1529,0.151302,248.85M,0.45%
9/22/2024,0.151713,0.151918,0.152112,0.150921,185.34M,-0.13%
9/21/2024,0.151918,0.152014,0.152505,0.151419,137.46M,-0.12%
9/20/2024,0.152095,0.151594,0.152802,0.151501,265.40M,0.33%
9/19/2024,0.151594,0.149604,0.151607,0.149418,280.20M,1.39%
9/18/2024,0.14952,0.150094,0.150294,0.149003,244.56M,-0.38%
9/17/2024,0.150094,0.148808,0.151299,0.148808,256.81M,0.86%
9/16/2024,0.148808,0.148989,0.149601,0.147801,322.96M,-0.12%
9/15/2024,0.148989,0.147497,0.149501,0.147002,274.07M,1.01%
9/14/2024,0.147497,0.148996,0.148996,0.147095,283.27M,-1.01%
9/13/2024,0.148996,0.151905,0.151993,0.1486,365.36M,-1.92%
9/12/2024,0.151907,0.153391,0.154301,0.1519,346.61M,-0.97%
9/11/2024,0.153391,0.153005,0.1534,0.151795,305.60M,0.25%
9/10/2024,0.153002,0.15459,0.15459,0.152106,308.85M,-1.03%
9/9/2024,0.154591,0.153194,0.154995,0.153105,350.14M,0.91%
9/8/2024,0.153194,0.151519,0.153313,0.151108,358.55M,1.11%
9/7/2024,0.151519,0.147825,0.152006,0.147825,327.92M,2.50%
9/6/2024,0.147826,0.149798,0.150201,0.146683,414.42M,-1.32%
9/5/2024,0.149798,0.149993,0.151195,0.149117,349.38M,-0.07%
9/4/2024,0.149908,0.150387,0.152101,0.148892,544.82M,-0.32%
9/3/2024,0.150384,0.154206,0.154613,0.150293,403.64M,-2.48%
9/2/2024,0.154206,0.155612,0.156906,0.153795,384.28M,-0.90%
9/1/2024,0.155612,0.157602,0.157796,0.15509,371.91M,-1.26%
8/31/2024,0.157602,0.159997,0.160208,0.156701,371.49M,-1.50%
8/30/2024,0.159997,0.159903,0.161697,0.159108,492.18M,0.06%
8/29/2024,0.159903,0.158291,0.161303,0.158091,486.12M,1.02%
