Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,1.0002,1.0002,1.0003,1.0001,286.21M,-0.01%
9/27/2024,1.0002,1.0003,1.0005,1.0001,497.13M,0.00%
9/26/2024,1.0003,0.9998,1.0003,0.9997,378.51M,0.04%
9/25/2024,0.9998,1.0006,1.0008,0.9998,269.18M,-0.07%
9/24/2024,1.0006,1.0002,1.0006,1.0001,356.36M,0.04%
9/23/2024,1.0002,1.0002,1.0002,0.9999,353.35M,0.00%
9/22/2024,1.0001,1.0003,1.0006,1,202.88M,-0.02%
9/21/2024,1.0003,1.0002,1.0006,1.0001,152.80M,0.02%
9/20/2024,1.0002,1.0002,1.0002,0.9999,359.41M,0.00%
9/19/2024,1.0002,1.0001,1.0005,1.0001,448.91M,0.00%
9/18/2024,1.0001,1.0002,1.0003,1,299.29M,-0.01%
9/17/2024,1.0002,1.0001,1.0004,1,378.39M,0.02%
9/16/2024,1.0001,1.0007,1.001,1,311.91M,-0.06%
9/15/2024,1.0007,1.0003,1.0009,1.0002,143.97M,0.04%
9/14/2024,1.0003,1.0007,1.0007,1.0001,397.97M,-0.04%
9/13/2024,1.0007,1.0001,1.0007,1.0001,461.33M,0.06%
9/12/2024,1.0001,1.0002,1.0004,0.9998,424.58M,-0.01%
9/11/2024,1.0002,1,1.0003,0.9999,322.79M,0.02%
9/10/2024,1,1.0004,1.0005,1,300.58M,-0.04%
9/9/2024,1.0004,1.0006,1.0008,1.0002,411.47M,-0.01%
9/8/2024,1.0006,1.0007,1.001,1.0005,136.82M,-0.02%
9/7/2024,1.0007,1.0003,1.001,1.0003,180.20M,0.05%
9/6/2024,1.0003,1.0002,1.0005,0.9995,570.43M,0.00%
9/5/2024,1.0002,1.0004,1.0008,1.0002,319.34M,-0.01%
9/4/2024,1.0004,1.0004,1.0006,1.0002,405.29M,0.02%
9/3/2024,1.0002,1.0006,1.0009,0.9999,316.41M,-0.04%
9/2/2024,1.0006,1.0007,1.0009,1.0004,265.84M,-0.02%
9/1/2024,1.0007,1.0007,1.0009,1.0005,153.23M,0.01%
8/31/2024,1.0007,1.0004,1.001,1.0004,145.13M,0.02%
8/30/2024,1.0004,1.0004,1.0005,1.0001,351.33M,0.01%
8/29/2024,1.0004,1.0003,1.0006,1.0002,355.44M,0.00%
8/28/2024,1.0003,1.0004,1.0005,1.0001,414.05M,0.00%
8/27/2024,1.0004,1.0003,1.0004,0.9998,450.64M,0.01%
8/26/2024,1.0003,1.0005,1.0005,1.0001,361.66M,-0.02%
8/25/2024,1.0005,1.0004,1.0006,1.0003,181.62M,0.01%
8/24/2024,1.0004,1.0008,1.0008,1.0003,284.48M,-0.04%
8/23/2024,1.0008,1.0002,1.001,0.9999,437.41M,0.06%
8/22/2024,1.0002,1.0003,1.0004,1.0001,442.04M,-0.01%
8/21/2024,1.0003,1.0002,1.0004,1.0001,455.88M,0.01%
8/20/2024,1.0002,1.0003,1.0007,1.0001,544.75M,-0.02%
8/19/2024,1.0003,1.0002,1.0012,1.0001,340.72M,0.02%
8/18/2024,1.0002,1.0002,1.0003,1.0001,138.00M,-0.01%
8/17/2024,1.0002,1.0005,1.0006,1.0002,192.48M,-0.02%
8/16/2024,1.0005,1.0003,1.0005,1.0001,438.25M,0.02%
8/15/2024,1.0002,1.0002,1.0005,0.9999,408.76M,0.00%
8/14/2024,1.0002,1.0003,1.0006,1.0001,660.23M,0.00%
8/13/2024,1.0003,1.0003,1.0005,1.0001,682.72M,0.00%
8/12/2024,1.0003,1.0002,1.0005,1.0001,418.64M,0.00%
8/11/2024,1.0002,1.0002,1.0005,1.0002,133.31M,0.00%
8/10/2024,1.0002,1.0005,1.0005,1.0002,148.48M,-0.02%
8/9/2024,1.0005,1.0003,1.0006,1.0001,335.73M,0.01%
8/8/2024,1.0003,1.0002,1.0007,1.0002,724.32M,0.01%
8/7/2024,1.0002,1.0005,1.0007,1.0001,685.53M,-0.02%
8/6/2024,1.0005,1.0005,1.001,1.0002,770.48M,0.00%
8/5/2024,1.0005,0.9997,1.0011,0.9994,1.04B,0.08%
8/4/2024,0.9997,0.9996,0.9998,0.9992,237.03M,0.01%
8/3/2024,0.9996,0.999,0.9996,0.9988,196.14M,0.06%
8/2/2024,0.999,0.9993,0.9996,0.9989,333.35M,-0.04%
8/1/2024,0.9993,0.9998,0.9999,0.9991,397.02M,-0.04%
7/31/2024,0.9998,0.9999,1,0.9996,276.35M,-0.01%
7/30/2024,0.9999,0.9999,1,0.9996,286.76M,-0.01%
7/29/2024,0.9999,1,1.0001,0.9996,538.47M,-0.01%
7/28/2024,1,1.0002,1.0002,0.9999,177.58M,-0.01%
7/27/2024,1.0002,1.0001,1.0004,1,179.55M,0.01%
7/26/2024,1.0001,0.9998,1.0002,0.9998,327.53M,0.03%
7/25/2024,0.9998,0.9996,0.9999,0.9994,380.07M,0.01%
7/24/2024,0.9996,1.0002,1.0004,0.9996,370.48M,-0.05%
7/23/2024,1.0002,1.0003,1.0006,0.9988,479.68M,-0.02%
7/22/2024,1.0003,1,1.0004,0.9998,398.51M,0.03%
7/21/2024,1.0001,1.0003,1.0005,1,282.66M,-0.02%
7/20/2024,1.0003,1.0004,1.0006,1.0002,318.24M,-0.02%
7/19/2024,1.0004,0.9998,1.0007,0.9997,414.37M,0.06%
7/18/2024,0.9998,1,1.0002,0.9997,327.85M,-0.02%
7/17/2024,1,1.0005,1.0005,1,509.40M,-0.04%
7/16/2024,1.0005,1.0005,1.0007,1.0002,531.24M,-0.01%
7/15/2024,1.0005,1.0006,1.001,1.0003,518.33M,0.00%
7/14/2024,1.0006,1.0005,1.0008,1.0004,154.22M,0.00%
7/13/2024,1.0005,1.0004,1.0007,1.0002,139.82M,0.01%
7/12/2024,1.0004,1.0003,1.0006,1.0003,307.47M,0.02%
7/11/2024,1.0003,1.0002,1.0005,1.0001,308.72M,0.01%
7/10/2024,1.0002,1.0005,1.0009,1.0001,242.86M,-0.03%
7/9/2024,1.0005,1.0003,1.0006,1.0003,253.36M,0.01%
7/8/2024,1.0003,1.0005,1.0009,0.9999,370.82M,-0.01%
7/7/2024,1.0005,1.0004,1.0006,1,147.37M,0.01%
7/6/2024,1.0004,1.0002,1.0005,1.0002,155.88M,0.02%
7/5/2024,1.0002,1,1.0005,0.9997,535.85M,0.02%
7/4/2024,1,0.9991,1,0.9991,257.76M,0.09%
7/3/2024,0.9991,0.9986,0.9991,0.9985,354.80M,0.05%
7/2/2024,0.9986,0.9991,0.9992,0.9983,372.14M,-0.05%
7/1/2024,0.9991,0.9985,0.9991,0.9985,391.90M,0.06%
6/30/2024,0.9985,0.9985,0.9987,0.9974,324.12M,0.00%
6/29/2024,0.9985,0.9983,0.9989,0.9982,684.44M,0.02%
6/28/2024,0.9983,0.9987,0.9992,0.9981,646.19M,-0.05%
6/27/2024,0.9987,0.9994,0.9994,0.9985,846.31M,-0.07%
6/26/2024,0.9994,0.9999,1,0.9992,701.05M,-0.04%
6/25/2024,0.9999,0.9997,1,0.9995,563.06M,0.02%
6/24/2024,0.9997,0.9995,0.9998,0.9994,493.96M,0.01%
6/23/2024,0.9995,0.9999,1,0.9995,161.16M,-0.03%
6/22/2024,0.9999,0.9997,0.9999,0.9995,149.95M,0.02%
6/21/2024,0.9997,0.9997,0.9998,0.9992,364.06M,0.01%
6/20/2024,0.9996,0.9998,1,0.9993,394.04M,-0.02%
6/19/2024,0.9998,0.9997,1.0001,0.9996,306.62M,0.01%
6/18/2024,0.9996,0.9997,1,0.9995,394.64M,0.00%
6/17/2024,0.9997,0.9995,0.9997,0.9992,303.07M,0.02%
6/16/2024,0.9995,0.9994,0.9996,0.9992,133.07M,0.00%
6/15/2024,0.9994,0.9995,0.9995,0.9993,65.95M,0.00%
6/14/2024,0.9995,0.9996,0.9997,0.9991,318.51M,-0.02%
6/13/2024,0.9996,0.9997,1,0.9996,276.48M,-0.01%
6/12/2024,0.9997,0.9999,1.0002,0.9995,314.71M,-0.01%
6/11/2024,0.9999,0.9995,0.9999,0.9991,397.78M,0.03%
6/10/2024,0.9995,0.9999,0.9999,0.9995,244.56M,-0.03%
6/9/2024,0.9999,0.9999,1,0.9998,117.86M,-0.01%
6/8/2024,0.9999,0.9996,1,0.9996,116.43M,0.03%
6/7/2024,0.9996,0.9996,0.9999,0.9989,339.72M,0.00%
6/6/2024,0.9996,1,1.0001,0.9995,310.92M,-0.04%
6/5/2024,1,1.0001,1.0002,0.9996,302.96M,0.00%
6/4/2024,1.0001,0.9998,1.0001,0.9996,271.11M,0.02%
6/3/2024,0.9998,0.9995,1,0.9993,280.67M,0.03%
6/2/2024,0.9995,0.9993,0.9996,0.9992,74.54M,0.03%
6/1/2024,0.9993,0.999,0.9993,0.9989,69.48M,0.02%
5/31/2024,0.999,0.9999,1.0001,0.9986,342.61M,-0.08%
5/30/2024,0.9999,0.9988,1,0.9988,292.07M,0.11%
5/29/2024,0.9988,0.999,0.9995,0.9987,259.47M,-0.03%
5/28/2024,0.999,0.9993,0.9995,0.9987,327.91M,-0.03%
5/27/2024,0.9994,0.9996,0.9996,0.9991,209.80M,-0.03%
5/26/2024,0.9996,0.9999,1,0.9994,137.64M,-0.03%
5/25/2024,0.9999,0.9998,1.0001,0.9997,106.26M,0.01%
5/24/2024,0.9998,0.9996,1,0.9993,376.91M,0.02%
5/23/2024,0.9996,0.9995,0.9998,0.9989,446.43M,0.01%
5/22/2024,0.9995,0.9998,1,0.9995,272.72M,-0.03%
5/21/2024,0.9998,1.0001,1.0002,0.9994,576.86M,-0.03%
5/20/2024,1.0001,0.9999,1.0006,0.9999,384.45M,0.02%
5/19/2024,0.9999,1.0002,1.0002,0.9999,131.30M,-0.03%
5/18/2024,1.0002,1.0005,1.0005,1.0001,177.61M,-0.02%
5/17/2024,1.0004,1.0001,1.0006,1,265.97M,0.03%
5/16/2024,1.0001,1.0004,1.0006,0.9999,350.54M,-0.03%
5/15/2024,1.0004,0.9997,1.0008,0.9997,369.80M,0.07%
5/14/2024,0.9997,0.9999,1,0.9994,266.51M,-0.02%
5/13/2024,0.9999,0.9999,1.0003,0.9999,270.02M,0.00%
5/12/2024,0.9999,1.0001,1.0002,0.9996,73.31M,-0.02%
5/11/2024,1.0001,1,1.0005,0.9999,85.45M,0.01%
5/10/2024,1,1.0002,1.0004,0.9997,282.38M,-0.02%
5/9/2024,1.0002,1,1.0003,0.9999,257.07M,0.02%
5/8/2024,0.9999,1.0001,1.0003,0.9999,264.04M,-0.01%
5/7/2024,1.0001,1.0001,1.0002,0.9999,262.31M,-0.01%
5/6/2024,1.0001,1.0005,1.0006,0.9999,372.49M,-0.03%
5/5/2024,1.0004,1.0002,1.0005,1.0001,113.68M,0.03%
5/4/2024,1.0002,1.0007,1.0007,1,207.39M,-0.05%
5/3/2024,1.0007,1.0004,1.0009,1.0001,343.31M,0.03%
5/2/2024,1.0004,0.9993,1.0005,0.9993,440.76M,0.11%
5/1/2024,0.9993,0.9993,0.9996,0.9989,405.51M,0.00%
4/30/2024,0.9993,0.9998,1.0001,0.9987,565.54M,-0.04%
4/29/2024,0.9998,0.9998,1.0002,0.9996,318.63M,-0.01%
4/28/2024,0.9998,0.9996,0.9999,0.9995,111.90M,0.03%
4/27/2024,0.9996,0.9999,1.0001,0.9995,173.92M,-0.03%
4/26/2024,0.9999,0.9999,1.0002,0.9996,363.41M,0.00%
4/25/2024,0.9999,0.9996,1.0001,0.9994,350.22M,0.03%
4/24/2024,0.9996,1.0001,1.0002,0.9991,513.31M,-0.05%
4/23/2024,1.0001,1.0004,1.0006,1,467.46M,-0.03%
4/22/2024,1.0004,1.0002,1.0007,1,517.83M,0.01%
4/21/2024,1.0002,1.0004,1.0005,1.0001,186.37M,-0.01%
4/20/2024,1.0004,1.0005,1.0005,1.0002,278.66M,-0.01%
4/19/2024,1.0005,1.0005,1.0009,1,621.33M,0.00%
4/18/2024,1.0005,1,1.0007,1,693.66M,0.04%
4/17/2024,1,1.0005,1.001,0.9999,581.03M,-0.04%
4/16/2024,1.0005,1.0004,1.0013,1.0003,246.09M,0.01%
4/15/2024,1.0004,1.0011,1.0016,1.0003,318.84M,-0.08%
4/14/2024,1.0011,1.0011,1.0013,1,130.28M,0.01%
4/13/2024,1.0011,1.0002,1.0026,0.9993,292.94M,0.08%
4/12/2024,1.0002,1.0002,1.0009,0.9991,313.59M,0.01%
4/11/2024,1.0002,1.001,1.0011,0.9998,148.17M,0.00%
4/10/2024,1.0002,0.9998,1.0003,0.9997,202.37M,0.04%
4/9/2024,0.9998,1.0002,1.0008,0.9997,200.65M,-0.04%
4/8/2024,1.0002,0.9998,1.0006,0.9994,228.83M,0.04%
4/7/2024,0.9998,1.0003,1.0003,0.9998,63.93M,-0.04%
4/6/2024,1.0003,1.0004,1.0004,1,100.34M,-0.01%
4/5/2024,1.0004,1.0004,1.0007,0.9997,261.41M,-0.01%
4/4/2024,1.0004,1.0003,1.0007,0.9996,331.94M,0.02%
4/3/2024,1.0003,1.0003,1.0007,0.9996,299.55M,0.00%
4/2/2024,1.0002,1.0004,1.0005,0.9996,301.17M,-0.01%
4/1/2024,1.0004,1.0006,1.001,1,145.51M,-0.02%
3/31/2024,1.0006,1.0004,1.0007,1.0001,83.48M,0.01%
3/30/2024,1.0004,1.0004,1.0007,0.9997,73.55M,0.00%
3/29/2024,1.0004,1.0001,1.0005,0.9996,146.76M,0.04%
3/28/2024,1.0001,0.9996,1.0004,0.9994,173.57M,0.04%
3/27/2024,0.9996,0.9996,1,0.9992,266.31M,-0.02%
3/26/2024,0.9999,0.9991,1.0002,0.9985,203.97M,0.00%
3/25/2024,0.9999,1.0003,1.001,0.9997,314.13M,-0.04%
3/24/2024,1.0003,1.0003,1.0004,0.9999,76.35M,0.00%
3/23/2024,1.0003,1.0002,1.0004,0.9999,64.82M,0.00%
3/22/2024,1.0002,1.0003,1.0011,0.9994,207.32M,0.00%
