Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,5.8563,5.9806,6.0665,5.8325,9.64M,-2.08%
9/27/2024,5.9806,5.7927,6.1304,5.7163,12.77M,3.21%
9/26/2024,5.7947,5.7358,5.9322,5.6291,11.59M,1.03%
9/25/2024,5.7358,5.6165,5.8171,5.5641,10.71M,2.14%
9/24/2024,5.6154,5.6442,5.6526,5.4708,7.27M,-0.51%
9/23/2024,5.6442,5.6333,5.7216,5.5508,8.92M,0.41%
9/22/2024,5.6212,5.6758,5.7022,5.5118,6.54M,-0.94%
9/21/2024,5.6746,5.5862,5.7049,5.4547,5.77M,1.58%
9/20/2024,5.5862,5.6846,5.8039,5.5507,10.22M,-1.72%
9/19/2024,5.6839,5.6409,5.8102,5.6108,11.83M,0.77%
9/18/2024,5.6402,5.5325,5.6424,5.4272,9.54M,1.95%
9/17/2024,5.5325,5.4886,5.5964,5.4356,9.20M,0.81%
9/16/2024,5.4882,5.5551,5.6007,5.3817,8.50M,-1.20%
9/15/2024,5.555,5.6753,5.7593,5.5174,7.93M,-2.11%
9/14/2024,5.6748,5.7775,5.8338,5.6502,7.49M,-1.76%
9/13/2024,5.7766,5.5836,5.8813,5.4815,11.66M,3.49%
9/12/2024,5.582,5.3883,5.6786,5.3483,11.79M,3.61%
9/11/2024,5.3873,5.5309,5.5473,5.1621,12.28M,-2.61%
9/10/2024,5.5315,5.2201,5.5546,5.1711,10.09M,5.97%
9/9/2024,5.22,4.8958,5.2676,4.873,12.47M,6.63%
9/8/2024,4.8952,4.6692,4.9406,4.646,7.77M,4.83%
9/7/2024,4.6699,4.6586,4.6896,4.5949,7.39M,0.22%
9/6/2024,4.6597,4.8102,4.9069,4.4533,17.08M,-3.13%
9/5/2024,4.8105,4.627,4.8979,4.5169,16.46M,3.97%
9/4/2024,4.627,4.8881,4.9239,4.5673,18.66M,-5.34%
9/3/2024,4.8882,5.2175,5.2975,4.8613,12.34M,-6.31%
9/2/2024,5.2175,5.1854,5.2462,5.0905,10.20M,0.63%
9/1/2024,5.1847,5.4216,5.4538,5.1513,9.00M,-4.41%
8/31/2024,5.424,5.3718,5.4336,5.2774,8.48M,0.98%
8/30/2024,5.3712,5.4574,5.5125,5.2622,12.08M,-1.58%
