Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,5.8936,5.8601,5.894,5.8585,10.40K,0.57%
9/27/2024,5.8601,5.8527,5.8895,5.8514,10.20K,0.13%
9/26/2024,5.8527,5.807,5.8733,5.78,12.89K,0.79%
9/25/2024,5.807,5.5456,5.807,5.545,151.41K,4.71%
9/24/2024,5.5456,5.5451,5.7699,5.544,518.19K,0.01%
9/23/2024,5.5451,5.7656,5.8917,5.5443,124.27K,-3.82%
9/22/2024,5.7656,5.5142,5.7898,5.5141,140.61K,4.56%
9/21/2024,5.5142,5.7494,5.772,5.5013,261.43K,-4.09%
9/20/2024,5.7494,5.7248,5.7751,5.722,10.27K,0.43%
9/19/2024,5.7248,5.6828,5.7738,5.5036,135.97K,0.74%
9/18/2024,5.6828,5.7589,5.7599,5.5515,87.24K,-1.32%
9/17/2024,5.7589,5.7312,5.7598,5.6502,46.20K,0.48%
9/16/2024,5.7312,5.7337,5.7593,5.7028,10.17K,-0.04%
9/15/2024,5.7337,5.7488,5.7498,5.7241,7.87K,-0.26%
9/14/2024,5.7488,5.7587,5.7587,5.7023,8.20K,-0.17%
9/13/2024,5.7587,5.689,5.7587,5.5082,25.94K,1.23%
9/12/2024,5.689,5.5734,5.6899,5.5734,39.97K,2.07%
9/11/2024,5.5734,5.5858,5.5897,5.4747,56.23K,-0.22%
9/10/2024,5.5858,5.419,5.5895,5.4185,58.16K,3.08%
9/9/2024,5.419,5.3912,5.4438,5.3363,82.90K,0.52%
9/8/2024,5.3912,5.3902,5.4426,5.3363,34.43K,0.02%
9/7/2024,5.3902,5.4765,5.5899,5.3333,819.64K,-1.58%
9/6/2024,5.4765,5.5169,5.7,5.4016,554.86K,-0.73%
9/5/2024,5.5169,5.7283,5.8755,5.4704,402.48K,-3.69%
9/4/2024,5.7283,5.8657,5.8948,5.5152,1.10M,-2.34%
9/3/2024,5.8657,5.8736,5.8948,5.805,14.41K,-0.14%
9/2/2024,5.8736,5.8862,5.8924,5.8595,18.30K,-0.21%
9/1/2024,5.8862,5.8776,5.8952,5.7914,17.27K,0.15%
8/31/2024,5.8776,5.8898,5.8898,5.8581,5.85K,-0.21%
8/30/2024,5.8898,5.8589,5.8947,5.7701,17.48K,0.53%
8/29/2024,5.8589,5.8947,5.895,5.8394,7.56K,-0.61%
8/28/2024,5.8947,5.8425,5.8953,5.8425,9.34K,0.89%
8/27/2024,5.8425,5.8777,5.8949,5.7901,15.57K,-0.60%
8/26/2024,5.8777,5.8874,5.8874,5.7655,11.44K,-0.16%
8/25/2024,5.8874,5.8681,5.8888,5.8585,6.16K,0.33%
8/24/2024,5.8681,5.8595,5.8888,5.7528,19.75K,0.15%
8/23/2024,5.8595,5.8563,5.8885,5.8486,20.51K,0.06%
8/22/2024,5.8563,5.8579,5.8873,5.7516,9.79K,-0.03%
8/21/2024,5.8579,5.8871,5.8886,5.8577,8.87K,-0.50%
8/20/2024,5.8871,5.8874,5.8887,5.8442,9.20K,0.00%
8/19/2024,5.8874,5.7913,5.8874,5.7506,24.59K,1.66%
8/18/2024,5.7913,5.8682,5.888,5.6364,83.82K,-1.31%
8/17/2024,5.8682,5.8829,5.8887,5.7601,9.47K,-0.25%
8/16/2024,5.8829,5.8604,5.8943,5.7811,10.68K,0.38%
8/15/2024,5.8604,5.8583,5.8955,5.8552,12.86K,0.03%
8/14/2024,5.8583,5.8866,5.8954,5.7522,11.68K,-0.48%
8/13/2024,5.8866,5.8577,5.8961,5.8571,7.36K,0.49%
8/12/2024,5.8577,5.868,5.891,5.8505,28.92K,-0.18%
8/11/2024,5.868,5.8509,5.8953,5.8503,7.24K,0.29%
8/10/2024,5.8509,5.8973,5.8977,5.7944,6.39K,-0.79%
8/9/2024,5.8973,5.894,5.8991,5.8672,24.64K,0.06%
8/8/2024,5.894,5.8183,5.8986,5.7337,31.71K,1.30%
8/7/2024,5.8183,5.7333,5.8586,5.7329,50.03K,1.48%
8/6/2024,5.7333,5.687,5.7594,5.6425,88.87K,0.81%
8/5/2024,5.687,5.645,5.7578,5.6363,295.88K,0.75%
8/4/2024,5.645,5.6517,5.7997,5.6438,670.77K,-0.12%
8/3/2024,5.6517,5.6609,5.7628,5.6514,202.19K,-0.16%
8/2/2024,5.6609,5.856,5.9201,5.6605,233.14K,-3.33%
8/1/2024,5.856,5.6617,5.8799,5.6602,109.75K,3.43%
7/31/2024,5.6617,5.6602,5.7813,5.66,335.99K,0.03%
7/30/2024,5.6602,5.6608,5.7522,5.6602,193.85K,-0.01%
7/29/2024,5.6608,5.9429,5.9435,5.6602,55.77K,-4.75%
7/28/2024,5.9429,5.921,5.9435,5.8747,43.73K,0.37%
7/27/2024,5.921,5.8791,5.9265,5.8251,15.83K,0.71%
7/26/2024,5.8791,5.9265,5.9276,5.7052,23.68K,-0.80%
7/25/2024,5.9265,5.9223,5.9275,5.7758,20.10K,0.07%
7/24/2024,5.9223,5.834,5.923,5.8003,27.21K,1.50%
7/23/2024,5.8345,5.8235,5.8726,5.7771,10.70K,0.19%
7/22/2024,5.8235,5.6605,5.8236,5.6603,85.02K,2.88%
7/21/2024,5.6605,5.661,5.7752,5.6602,307.13K,-0.01%
7/20/2024,5.661,5.8786,5.9425,5.66,120.38K,-3.70%
7/19/2024,5.8786,5.8516,5.8795,5.7547,17.91K,0.46%
7/18/2024,5.8516,5.7465,5.8632,5.742,26.96K,1.83%
7/17/2024,5.7465,5.8863,5.8872,5.6638,44.77K,-2.38%
7/16/2024,5.8863,5.8899,5.8956,5.852,11.85K,-0.06%
7/15/2024,5.8899,5.8806,5.8942,5.8535,12.84K,0.16%
7/14/2024,5.8806,5.8206,5.8806,5.7811,13.03K,1.03%
7/13/2024,5.8206,5.66,5.8292,5.6591,87.06K,2.84%
7/12/2024,5.66,5.847,5.889,5.6591,229.21K,-3.20%
7/11/2024,5.847,5.872,5.8828,5.6591,213.61K,-0.43%
7/10/2024,5.872,5.8911,5.8936,5.8292,11.65K,-0.32%
7/9/2024,5.8911,5.8292,5.9053,5.717,51.10K,1.06%
7/8/2024,5.8292,5.7744,5.8573,5.7375,15.66K,0.95%
7/7/2024,5.7744,5.7495,5.8302,5.6592,526.83K,0.43%
7/6/2024,5.7495,5.7422,5.8542,5.6664,374.21K,0.13%
7/5/2024,5.7423,5.7768,5.896,5.6744,203.59K,-0.60%
7/4/2024,5.7768,5.8543,5.8965,5.6905,69.66K,-1.32%
7/3/2024,5.8543,5.8397,5.903,5.7394,31.84K,0.25%
7/2/2024,5.8397,5.8587,5.8645,5.7317,14.01K,-0.32%
7/1/2024,5.8587,5.8706,5.8779,5.8332,18.98K,-0.20%
6/30/2024,5.8706,5.8439,5.9095,5.7832,12.34K,0.46%
6/29/2024,5.8439,5.7875,5.9652,5.7872,21.79K,0.98%
6/28/2024,5.7872,5.7807,5.7897,5.6999,69.30K,0.11%
6/27/2024,5.7807,5.7778,5.7994,5.7002,680.26K,0.05%
6/26/2024,5.7778,5.7954,5.7987,5.7397,70.11K,-0.30%
6/25/2024,5.7954,5.793,5.7993,5.7421,22.39K,0.04%
6/24/2024,5.793,5.7741,5.7997,5.7474,79.95K,0.33%
6/23/2024,5.7741,5.7544,5.7991,5.3504,328.22K,0.34%
6/22/2024,5.7544,5.7398,5.7741,5.521,213.50K,0.26%
6/21/2024,5.7398,5.7292,5.7989,5.5526,364.32K,0.19%
6/20/2024,5.7292,5.7359,5.7387,5.7218,8.61K,-0.12%
6/19/2024,5.7359,5.7493,5.7495,5.7244,8.66K,-0.23%
6/18/2024,5.7493,5.7304,5.7504,5.5962,171.80K,0.33%
6/17/2024,5.7304,5.897,5.9426,5.5715,86.53K,-2.83%
6/16/2024,5.8971,5.774,5.9298,5.7535,24.25K,2.13%
6/15/2024,5.774,5.5789,5.788,5.5697,94.85K,3.50%
6/14/2024,5.5789,5.592,5.5999,5.5502,142.58K,-0.23%
6/13/2024,5.592,5.9379,5.938,5.5811,258.64K,-5.83%
6/12/2024,5.9379,5.9434,5.9728,5.8451,11.68K,-0.09%
6/11/2024,5.9434,5.867,5.9447,5.8139,30.11K,1.30%
6/10/2024,5.867,5.8865,5.8873,5.7963,11.38K,-0.33%
6/9/2024,5.8865,5.8027,5.8957,5.7736,9.17K,1.45%
6/8/2024,5.8026,6.0154,6.0439,5.7497,29.90K,-3.54%
6/7/2024,6.0154,6.028,6.0446,5.914,10.34K,-0.21%
6/6/2024,6.028,6.0414,6.0497,5.9939,8.07K,-0.22%
6/5/2024,6.0414,5.961,6.0498,5.8828,20.39K,1.35%
6/4/2024,5.961,6.0152,6.0431,5.926,20.55K,-0.90%
6/3/2024,6.0152,5.9591,6.0159,5.8843,23.52K,0.94%
6/2/2024,5.9591,5.9693,5.9744,5.9247,3.09K,-0.17%
6/1/2024,5.9693,5.9619,5.9925,5.908,14.31K,0.13%
5/31/2024,5.9619,5.9722,5.9899,5.764,55.04K,-0.17%
5/30/2024,5.9722,5.9708,5.9917,5.9005,66.99K,0.02%
5/29/2024,5.9708,5.9808,5.9937,5.7805,59.28K,-0.17%
5/28/2024,5.9808,5.956,5.9954,5.8068,117.53K,0.42%
5/27/2024,5.956,5.9381,5.9981,5.7507,151.76K,0.30%
5/26/2024,5.9381,5.9987,6.02,5.9149,39.51K,-1.01%
5/25/2024,5.9987,6.0101,6.0274,5.9442,10.62K,-0.19%
5/24/2024,6.0101,5.999,6.0353,5.8871,40.88K,0.19%
5/23/2024,5.999,5.9972,6.0002,5.9301,56.11K,0.03%
5/22/2024,5.9972,5.9973,5.9982,5.8997,95.74K,0.00%
5/21/2024,5.9973,5.9942,6.0185,5.9108,30.91K,0.05%
5/20/2024,5.9942,5.9128,5.9968,5.8226,30.67K,1.38%
5/19/2024,5.9128,5.9025,5.9209,5.8947,7.21K,0.17%
5/18/2024,5.9025,5.923,5.924,5.8484,4.37K,-0.35%
5/17/2024,5.923,5.9397,5.9481,5.8062,35.32K,-0.28%
5/16/2024,5.9397,5.9857,5.9934,5.8007,60.13K,-0.77%
5/15/2024,5.9857,5.9622,5.9956,5.9084,25.71K,0.39%
5/14/2024,5.9622,5.9275,5.9841,5.8633,59.60K,0.59%
5/13/2024,5.9275,5.9164,5.9852,5.8138,44.54K,0.19%
5/12/2024,5.9164,5.953,5.9805,5.8736,8.34K,-0.61%
5/11/2024,5.953,5.981,5.9957,5.8101,50.17K,-0.51%
