Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,0.9997,0.9998,0.9999,0.9996,499.45M,-0.01%
9/27/2024,0.9998,0.9998,0.9999,0.9994,737.65M,0.00%
9/26/2024,0.9998,1.0001,1.0002,0.9997,926.63M,-0.03%
9/25/2024,1.0001,1,1.0002,0.9999,610.75M,0.01%
9/24/2024,1,1,1.0002,0.9999,865.56M,0.00%
9/23/2024,1,1,1.0002,0.9998,650.59M,0.01%
9/22/2024,0.9999,0.9998,1.0002,0.9998,342.86M,0.01%
9/21/2024,0.9998,0.9998,1,0.9998,234.64M,0.00%
9/20/2024,0.9998,0.9998,1.0001,0.9997,771.21M,0.00%
9/19/2024,0.9998,0.9999,1,0.9996,968.51M,-0.01%
9/18/2024,0.9999,0.9998,1.0001,0.9997,701.12M,0.01%
9/17/2024,0.9998,1,1.0001,0.9996,965.31M,-0.01%
9/16/2024,0.9999,0.9998,1.0002,0.9997,811.17M,0.01%
9/15/2024,0.9998,0.9996,1,0.9996,294.46M,0.02%
9/14/2024,0.9996,0.9992,0.9998,0.9992,415.64M,0.04%
9/13/2024,0.9992,0.9999,1.0001,0.9992,1.14B,-0.07%
9/12/2024,0.9999,0.9998,1.0002,0.9998,737.80M,0.01%
9/11/2024,0.9998,0.9999,1.0002,0.9997,650.64M,-0.01%
9/10/2024,0.9999,0.9997,1.0001,0.9997,530.43M,0.01%
9/9/2024,0.9998,0.9999,1.0002,0.9997,880.62M,-0.01%
9/8/2024,0.9999,1.0001,1.0002,0.9999,281.09M,-0.01%
9/7/2024,1,1.0002,1.0003,1,224.02M,-0.02%
9/6/2024,1.0002,1.0003,1.001,1.0001,1.29B,-0.01%
9/5/2024,1.0003,1,1.0003,0.9999,612.16M,0.02%
9/4/2024,1.0001,1.0002,1.0002,0.9998,818.83M,-0.01%
9/3/2024,1.0002,1,1.0003,0.9999,556.70M,0.02%
9/2/2024,1,0.9999,1.0002,0.9999,591.27M,0.01%
9/1/2024,0.9999,1.0001,1.0002,0.9999,261.88M,-0.02%
8/31/2024,1.0001,1.0001,1.0001,0.9999,177.74M,0.00%
8/30/2024,1.0001,0.9998,1.0002,0.9997,760.70M,0.03%
8/29/2024,0.9998,0.9998,0.9999,0.9996,826.84M,0.00%
8/28/2024,0.9998,0.9996,1,0.9996,946.66M,0.02%
8/27/2024,0.9996,0.9996,1.0001,0.9996,811.97M,0.00%
8/26/2024,0.9996,0.9995,0.9998,0.9994,626.47M,0.01%
8/25/2024,0.9995,0.9995,0.9996,0.9993,279.51M,0.00%
8/24/2024,0.9995,0.9992,0.9995,0.999,422.03M,0.03%
8/23/2024,0.9992,0.9997,1,0.9989,1.15B,-0.05%
8/22/2024,0.9997,0.9997,0.9998,0.9994,675.04M,0.00%
8/21/2024,0.9997,0.9998,1,0.9995,945.87M,-0.01%
8/20/2024,0.9998,0.9996,1,0.9993,873.85M,0.02%
8/19/2024,0.9996,0.9999,0.9999,0.9995,833.50M,-0.03%
8/18/2024,0.9999,0.9999,1,0.9997,239.29M,0.00%
8/17/2024,0.9999,0.9996,0.9999,0.9996,190.48M,0.03%
8/16/2024,0.9996,0.9998,1,0.9995,889.38M,-0.02%
8/15/2024,0.9998,0.9998,1.0001,0.9996,1.17B,0.00%
8/14/2024,0.9998,0.9996,0.9999,0.9994,1.10B,0.01%
8/13/2024,0.9997,0.9997,0.9998,0.9995,731.00M,0.00%
8/12/2024,0.9997,0.9998,1,0.9995,1.01B,-0.01%
8/11/2024,0.9998,0.9998,0.9999,0.9996,346.71M,0.00%
8/10/2024,0.9998,0.9995,0.9998,0.9995,173.52M,0.03%
8/9/2024,0.9995,0.9997,0.9999,0.9994,610.08M,-0.02%
8/8/2024,0.9997,0.9997,0.9998,0.9993,812.42M,0.00%
8/7/2024,0.9997,0.9995,0.9999,0.9993,1.21B,0.02%
8/6/2024,0.9995,0.9996,0.9998,0.9991,1.55B,-0.01%
8/5/2024,0.9996,1.0003,1.001,0.9991,2.97B,-0.07%
8/4/2024,1.0003,1.0006,1.0009,1.0001,635.04M,-0.03%
8/3/2024,1.0006,1.0011,1.0013,1.0005,476.30M,-0.05%
8/2/2024,1.0011,1.0008,1.0012,1.0006,992.93M,0.03%
8/1/2024,1.0008,1.0003,1.0011,1.0002,991.25M,0.05%
7/31/2024,1.0003,1.0002,1.0006,1,825.98M,0.01%
7/30/2024,1.0002,1.0001,1.0004,1,708.53M,0.01%
7/29/2024,1.0001,1,1.0003,0.9999,838.87M,0.01%
7/28/2024,1,0.9999,1.0001,0.9999,187.39M,0.00%
7/27/2024,1,1,1.0001,0.9996,396.51M,0.00%
7/26/2024,1,1.0002,1.0003,0.9999,907.91M,-0.02%
7/25/2024,1.0002,1.0001,1.0004,0.9999,921.26M,0.01%
7/24/2024,1.0001,0.9997,1.0001,0.9996,776.58M,0.04%
7/23/2024,0.9997,0.9996,1.0001,0.9994,1.47B,0.01%
7/22/2024,0.9996,0.9999,1.0001,0.9995,880.27M,-0.03%
7/21/2024,0.9999,0.9995,0.9999,0.9993,685.50M,0.04%
7/20/2024,0.9995,0.9994,0.9997,0.9993,564.76M,0.01%
7/19/2024,0.9994,1.0001,1.0003,0.9992,1.29B,-0.07%
7/18/2024,1.0001,0.9999,1.0002,0.9998,1.03B,0.02%
7/17/2024,0.9999,0.9996,1,0.9993,1.19B,0.03%
7/16/2024,0.9996,0.9995,0.9997,0.9993,1.09B,0.02%
7/15/2024,0.9994,0.9996,0.9998,0.999,1.33B,-0.02%
7/14/2024,0.9996,0.9997,0.9999,0.9995,434.68M,-0.01%
7/13/2024,0.9997,0.9997,1,0.9996,285.46M,0.00%
