Date,Price,Open,High,Low,Vol.,Change %
9/28/2024,0.6221,0.5886,0.624,0.5859,799.12M,5.69%
9/27/2024,0.5886,0.5904,0.597,0.5826,478.93M,-0.32%
9/26/2024,0.5904,0.5832,0.596,0.5756,462.40M,1.23%
9/25/2024,0.5833,0.5911,0.5955,0.5827,372.16M,-1.33%
9/24/2024,0.5911,0.5847,0.5927,0.5815,378.99M,1.09%
9/23/2024,0.5848,0.5871,0.5957,0.5793,357.59M,-0.40%
9/22/2024,0.5871,0.5977,0.6049,0.5791,265.08M,-1.78%
9/21/2024,0.5977,0.5851,0.6116,0.5801,314.59M,2.15%
9/20/2024,0.5851,0.5869,0.5927,0.5766,464.05M,-0.29%
9/19/2024,0.5868,0.5854,0.5942,0.5813,469.48M,0.24%
9/18/2024,0.5854,0.5841,0.5857,0.5627,431.50M,0.22%
9/17/2024,0.5841,0.5866,0.5932,0.579,347.97M,-0.26%
9/16/2024,0.5857,0.5707,0.5911,0.5599,1.44M,2.60%
9/15/2024,0.5708,0.5956,0.5957,0.57,287.90M,-4.17%
9/14/2024,0.5957,0.5727,0.599,0.5705,461.62M,4.00%
9/13/2024,0.5728,0.5625,0.574,0.556,513.23M,1.82%
9/12/2024,0.5625,0.5348,0.5869,0.5334,630.37M,5.19%
9/11/2024,0.5348,0.5408,0.5412,0.5235,388.46M,-1.11%
9/10/2024,0.5408,0.5395,0.5427,0.5338,286.44M,0.23%
9/9/2024,0.5395,0.5294,0.5426,0.5272,364.21M,1.97%
9/8/2024,0.5291,0.525,0.5314,0.521,167.90M,0.77%
9/7/2024,0.525,0.5211,0.5327,0.5198,202.43M,0.75%
9/6/2024,0.5211,0.5444,0.5472,0.5029,784.44M,-4.28%
9/5/2024,0.5444,0.5585,0.5597,0.5407,409.29M,-2.51%
9/4/2024,0.5585,0.5575,0.5645,0.5353,528.86M,0.17%
9/3/2024,0.5575,0.5677,0.5722,0.5572,364.31M,-1.79%
9/2/2024,0.5677,0.5477,0.5686,0.5447,362.67M,3.64%
9/1/2024,0.5477,0.5662,0.5667,0.5443,261.64M,-3.28%
8/31/2024,0.5663,0.5667,0.572,0.5628,151.37M,-0.06%
8/30/2024,0.5666,0.562,0.5675,0.5467,507.06M,0.81%
8/29/2024,0.5621,0.5694,0.5765,0.5588,343.44M,-1.27%
8/28/2024,0.5693,0.5673,0.5844,0.5575,574.51M,0.35%
8/27/2024,0.5674,0.5875,0.6002,0.5559,625.56M,-3.43%
8/26/2024,0.5875,0.6004,0.6021,0.5796,420.40M,-2.13%
8/25/2024,0.6003,0.6128,0.6138,0.5959,288.26M,-2.06%
8/24/2024,0.6129,0.6108,0.6301,0.6047,396.20M,0.35%
8/23/2024,0.6108,0.5977,0.6156,0.592,477.55M,2.20%
8/22/2024,0.5977,0.6001,0.6041,0.5926,341.13M,-0.41%
8/21/2024,0.6001,0.5941,0.6052,0.5862,450.67M,1.02%
8/20/2024,0.5941,0.5984,0.6148,0.5883,446.56M,-0.72%
8/19/2024,0.5984,0.5632,0.6085,0.5615,592.92M,6.24%
8/18/2024,0.5632,0.5664,0.5799,0.5631,197.13M,-0.57%
8/17/2024,0.5665,0.5638,0.5707,0.5613,130.03M,0.46%
8/16/2024,0.5638,0.5607,0.5704,0.5541,364.61M,0.55%
8/15/2024,0.5608,0.5688,0.5739,0.5515,450.35M,-1.40%
8/14/2024,0.5687,0.577,0.582,0.566,414.40M,-1.39%
8/13/2024,0.5768,0.5686,0.5833,0.5628,419.43M,1.43%
8/12/2024,0.5686,0.5525,0.5784,0.5509,555.37M,2.92%
8/11/2024,0.5525,0.5847,0.5931,0.5469,412.84M,-5.50%
